Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,ALABAMA,1,0,,HONEY,TOTAL,10000.00
SURVEY,2022,ALABAMA,1,0,,HONEY,TOTAL,10000.00
SURVEY,2021,ALABAMA,1,0,,HONEY,TOTAL,8000.00
SURVEY,2020,ALABAMA,1,0,,HONEY,TOTAL,7000.00
SURVEY,2019,ALABAMA,1,0,,HONEY,TOTAL,7000.00
SURVEY,2018,ALABAMA,1,0,,HONEY,TOTAL,6000.00
SURVEY,2017,ALABAMA,1,0,,HONEY,TOTAL,7000.00
SURVEY,2016,ALABAMA,1,0,,HONEY,TOTAL,7000.00
SURVEY,2015,ALABAMA,1,0,,HONEY,TOTAL,7000.00
SURVEY,2014,ALABAMA,1,0,,HONEY,TOTAL,7000.00
SURVEY,2013,ALABAMA,1,0,,HONEY,TOTAL,7000.00
SURVEY,2012,ALABAMA,1,0,,HONEY,TOTAL,8000.00
SURVEY,2011,ALABAMA,1,0,,HONEY,TOTAL,9000.00
SURVEY,2010,ALABAMA,1,0,,HONEY,TOTAL,9000.00
SURVEY,2009,ALABAMA,1,0,,HONEY,TOTAL,9000.00
SURVEY,2008,ALABAMA,1,0,,HONEY,TOTAL,9000.00
SURVEY,2007,ALABAMA,1,0,,HONEY,TOTAL,11000.00
SURVEY,2006,ALABAMA,1,0,,HONEY,TOTAL,11000.00
SURVEY,2005,ALABAMA,1,0,,HONEY,TOTAL,13000.00
SURVEY,2004,ALABAMA,1,0,,HONEY,TOTAL,12000.00
SURVEY,2003,ALABAMA,1,0,,HONEY,TOTAL,13000.00
SURVEY,2002,ALABAMA,1,0,,HONEY,TOTAL,12000.00
SURVEY,2001,ALABAMA,1,0,,HONEY,TOTAL,14000.00
SURVEY,2000,ALABAMA,1,0,,HONEY,TOTAL,16000.00
SURVEY,1999,ALABAMA,1,0,,HONEY,TOTAL,17000.00
SURVEY,1998,ALABAMA,1,0,,HONEY,TOTAL,16000.00
SURVEY,1997,ALABAMA,1,0,,HONEY,TOTAL,14000.00
SURVEY,1996,ALABAMA,1,0,,HONEY,TOTAL,15000.00
SURVEY,1995,ALABAMA,1,0,,HONEY,TOTAL,16000.00
SURVEY,1994,ALABAMA,1,0,,HONEY,TOTAL,18000.00
SURVEY,1993,ALABAMA,1,0,,HONEY,TOTAL,19000.00
SURVEY,1992,ALABAMA,1,0,,HONEY,TOTAL,25000.00
SURVEY,1991,ALABAMA,1,0,,HONEY,TOTAL,23000.00
SURVEY,1990,ALABAMA,1,0,,HONEY,TOTAL,29000.00
SURVEY,1989,ALABAMA,1,0,,HONEY,TOTAL,41000.00
SURVEY,1988,ALABAMA,1,0,,HONEY,TOTAL,42000.00
SURVEY,1987,ALABAMA,1,0,,HONEY,TOTAL,46000.00
