Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,ARIZONA,4,0,,HONEY,TOTAL,34000
SURVEY,2022,ARIZONA,4,0,,HONEY,TOTAL,23000
SURVEY,2021,ARIZONA,4,0,,HONEY,TOTAL,26000
SURVEY,2020,ARIZONA,4,0,,HONEY,TOTAL,25000
SURVEY,2019,ARIZONA,4,0,,HONEY,TOTAL,23000
SURVEY,2018,ARIZONA,4,0,,HONEY,TOTAL,24000
SURVEY,2017,ARIZONA,4,0,,HONEY,TOTAL,22000
SURVEY,2016,ARIZONA,4,0,,HONEY,TOTAL,27000
SURVEY,2015,ARIZONA,4,0,,HONEY,TOTAL,26000
SURVEY,2014,ARIZONA,4,0,,HONEY,TOTAL,26000
SURVEY,2013,ARIZONA,4,0,,HONEY,TOTAL,29000
SURVEY,2012,ARIZONA,4,0,,HONEY,TOTAL,22000
SURVEY,2011,ARIZONA,4,0,,HONEY,TOTAL,23000
SURVEY,2010,ARIZONA,4,0,,HONEY,TOTAL,24000
SURVEY,2009,ARIZONA,4,0,,HONEY,TOTAL,20000
SURVEY,2008,ARIZONA,4,0,,HONEY,TOTAL,25000
SURVEY,2007,ARIZONA,4,0,,HONEY,TOTAL,30000
SURVEY,2006,ARIZONA,4,0,,HONEY,TOTAL,30000
SURVEY,2005,ARIZONA,4,0,,HONEY,TOTAL,36000
SURVEY,2004,ARIZONA,4,0,,HONEY,TOTAL,32000
SURVEY,2003,ARIZONA,4,0,,HONEY,TOTAL,35000
SURVEY,2002,ARIZONA,4,0,,HONEY,TOTAL,38000
SURVEY,2001,ARIZONA,4,0,,HONEY,TOTAL,43000
SURVEY,2000,ARIZONA,4,0,,HONEY,TOTAL,40000
SURVEY,1999,ARIZONA,4,0,,HONEY,TOTAL,52000
SURVEY,1998,ARIZONA,4,0,,HONEY,TOTAL,55000
SURVEY,1997,ARIZONA,4,0,,HONEY,TOTAL,42000
SURVEY,1996,ARIZONA,4,0,,HONEY,TOTAL,32000
SURVEY,1995,ARIZONA,4,0,,HONEY,TOTAL,52000
SURVEY,1994,ARIZONA,4,0,,HONEY,TOTAL,53000
SURVEY,1993,ARIZONA,4,0,,HONEY,TOTAL,55000
SURVEY,1992,ARIZONA,4,0,,HONEY,TOTAL,70000
SURVEY,1991,ARIZONA,4,0,,HONEY,TOTAL,75000
SURVEY,1990,ARIZONA,4,0,,HONEY,TOTAL,67000
SURVEY,1989,ARIZONA,4,0,,HONEY,TOTAL,78000
SURVEY,1988,ARIZONA,4,0,,HONEY,TOTAL,80000
SURVEY,1987,ARIZONA,4,0,,HONEY,TOTAL,80000
