Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,ARKANSAS,5,0,,HONEY,TOTAL,19000.00
SURVEY,2022,ARKANSAS,5,0,,HONEY,TOTAL,20000.00
SURVEY,2021,ARKANSAS,5,0,,HONEY,TOTAL,17000.00
SURVEY,2020,ARKANSAS,5,0,,HONEY,TOTAL,20000.00
SURVEY,2019,ARKANSAS,5,0,,HONEY,TOTAL,20000.00
SURVEY,2018,ARKANSAS,5,0,,HONEY,TOTAL,28000.00
SURVEY,2017,ARKANSAS,5,0,,HONEY,TOTAL,29000.00
SURVEY,2016,ARKANSAS,5,0,,HONEY,TOTAL,24000.00
SURVEY,2015,ARKANSAS,5,0,,HONEY,TOTAL,24000.00
SURVEY,2014,ARKANSAS,5,0,,HONEY,TOTAL,21000.00
SURVEY,2013,ARKANSAS,5,0,,HONEY,TOTAL,22000.00
SURVEY,2012,ARKANSAS,5,0,,HONEY,TOTAL,25000.00
SURVEY,2011,ARKANSAS,5,0,,HONEY,TOTAL,22000.00
SURVEY,2010,ARKANSAS,5,0,,HONEY,TOTAL,25000.00
SURVEY,2009,ARKANSAS,5,0,,HONEY,TOTAL,24000.00
SURVEY,2008,ARKANSAS,5,0,,HONEY,TOTAL,28000.00
SURVEY,2007,ARKANSAS,5,0,,HONEY,TOTAL,28000.00
SURVEY,2006,ARKANSAS,5,0,,HONEY,TOTAL,32000.00
SURVEY,2005,ARKANSAS,5,0,,HONEY,TOTAL,36000.00
SURVEY,2004,ARKANSAS,5,0,,HONEY,TOTAL,40000.00
SURVEY,2003,ARKANSAS,5,0,,HONEY,TOTAL,40000.00
SURVEY,2002,ARKANSAS,5,0,,HONEY,TOTAL,45000.00
SURVEY,2001,ARKANSAS,5,0,,HONEY,TOTAL,50000.00
SURVEY,2000,ARKANSAS,5,0,,HONEY,TOTAL,52000.00
SURVEY,1999,ARKANSAS,5,0,,HONEY,TOTAL,52000.00
SURVEY,1998,ARKANSAS,5,0,,HONEY,TOTAL,53000.00
SURVEY,1997,ARKANSAS,5,0,,HONEY,TOTAL,50000.00
SURVEY,1996,ARKANSAS,5,0,,HONEY,TOTAL,50000.00
SURVEY,1995,ARKANSAS,5,0,,HONEY,TOTAL,55000.00
SURVEY,1994,ARKANSAS,5,0,,HONEY,TOTAL,55000.00
SURVEY,1993,ARKANSAS,5,0,,HONEY,TOTAL,50000.00
SURVEY,1992,ARKANSAS,5,0,,HONEY,TOTAL,45000.00
SURVEY,1991,ARKANSAS,5,0,,HONEY,TOTAL,47000.00
SURVEY,1990,ARKANSAS,5,0,,HONEY,TOTAL,42000.00
SURVEY,1989,ARKANSAS,5,0,,HONEY,TOTAL,34000.00
SURVEY,1988,ARKANSAS,5,0,,HONEY,TOTAL,34000.00
SURVEY,1987,ARKANSAS,5,0,,HONEY,TOTAL,29000.00
