Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,CALIFORNIA,6,0,,HONEY,TOTAL,310000.00
SURVEY,2023,CALIFORNIA,6,0,,HONEY,TOTAL,325000.00
SURVEY,2022,CALIFORNIA,6,0,,HONEY,TOTAL,305000.00
SURVEY,2021,CALIFORNIA,6,0,,HONEY,TOTAL,290000.00
SURVEY,2020,CALIFORNIA,6,0,,HONEY,TOTAL,320000.00
SURVEY,2019,CALIFORNIA,6,0,,HONEY,TOTAL,335000.00
SURVEY,2018,CALIFORNIA,6,0,,HONEY,TOTAL,335000.00
SURVEY,2017,CALIFORNIA,6,0,,HONEY,TOTAL,335000.00
SURVEY,2016,CALIFORNIA,6,0,,HONEY,TOTAL,310000.00
SURVEY,2015,CALIFORNIA,6,0,,HONEY,TOTAL,275000.00
SURVEY,2014,CALIFORNIA,6,0,,HONEY,TOTAL,320000.00
SURVEY,2013,CALIFORNIA,6,0,,HONEY,TOTAL,330000.00
SURVEY,2012,CALIFORNIA,6,0,,HONEY,TOTAL,330000.00
SURVEY,2011,CALIFORNIA,6,0,,HONEY,TOTAL,370000.00
SURVEY,2010,CALIFORNIA,6,0,,HONEY,TOTAL,410000.00
SURVEY,2009,CALIFORNIA,6,0,,HONEY,TOTAL,355000.00
SURVEY,2008,CALIFORNIA,6,0,,HONEY,TOTAL,360000.00
SURVEY,2007,CALIFORNIA,6,0,,HONEY,TOTAL,340000.00
SURVEY,2006,CALIFORNIA,6,0,,HONEY,TOTAL,380000.00
SURVEY,2005,CALIFORNIA,6,0,,HONEY,TOTAL,400000.00
SURVEY,2004,CALIFORNIA,6,0,,HONEY,TOTAL,390000.00
SURVEY,2003,CALIFORNIA,6,0,,HONEY,TOTAL,480000.00
SURVEY,2002,CALIFORNIA,6,0,,HONEY,TOTAL,470000.00
SURVEY,2001,CALIFORNIA,6,0,,HONEY,TOTAL,460000.00
SURVEY,2000,CALIFORNIA,6,0,,HONEY,TOTAL,440000.00
SURVEY,1999,CALIFORNIA,6,0,,HONEY,TOTAL,465000.00
SURVEY,1998,CALIFORNIA,6,0,,HONEY,TOTAL,450000.00
SURVEY,1997,CALIFORNIA,6,0,,HONEY,TOTAL,420000.00
SURVEY,1996,CALIFORNIA,6,0,,HONEY,TOTAL,390000.00
SURVEY,1995,CALIFORNIA,6,0,,HONEY,TOTAL,420000.00
SURVEY,1994,CALIFORNIA,6,0,,HONEY,TOTAL,400000.00
SURVEY,1993,CALIFORNIA,6,0,,HONEY,TOTAL,500000.00
SURVEY,1992,CALIFORNIA,6,0,,HONEY,TOTAL,490000.00
SURVEY,1991,CALIFORNIA,6,0,,HONEY,TOTAL,550000.00
SURVEY,1990,CALIFORNIA,6,0,,HONEY,TOTAL,480000.00
SURVEY,1989,CALIFORNIA,6,0,,HONEY,TOTAL,620000.00
SURVEY,1988,CALIFORNIA,6,0,,HONEY,TOTAL,600000.00
SURVEY,1987,CALIFORNIA,6,0,,HONEY,TOTAL,540000.00
