Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,COLORADO,8,0,,HONEY,TOTAL,25000.00
SURVEY,2022,COLORADO,8,0,,HONEY,TOTAL,31000.00
SURVEY,2021,COLORADO,8,0,,HONEY,TOTAL,29000.00
SURVEY,2020,COLORADO,8,0,,HONEY,TOTAL,30000.00
SURVEY,2019,COLORADO,8,0,,HONEY,TOTAL,32000.00
SURVEY,2018,COLORADO,8,0,,HONEY,TOTAL,31000.00
SURVEY,2017,COLORADO,8,0,,HONEY,TOTAL,33000.00
SURVEY,2016,COLORADO,8,0,,HONEY,TOTAL,32000.00
SURVEY,2015,COLORADO,8,0,,HONEY,TOTAL,29000.00
SURVEY,2014,COLORADO,8,0,,HONEY,TOTAL,27000.00
SURVEY,2013,COLORADO,8,0,,HONEY,TOTAL,26000.00
SURVEY,2012,COLORADO,8,0,,HONEY,TOTAL,25000.00
SURVEY,2011,COLORADO,8,0,,HONEY,TOTAL,31000.00
SURVEY,2010,COLORADO,8,0,,HONEY,TOTAL,34000.00
SURVEY,2009,COLORADO,8,0,,HONEY,TOTAL,28000.00
SURVEY,2008,COLORADO,8,0,,HONEY,TOTAL,27000.00
SURVEY,2007,COLORADO,8,0,,HONEY,TOTAL,31000.00
SURVEY,2006,COLORADO,8,0,,HONEY,TOTAL,36000.00
SURVEY,2005,COLORADO,8,0,,HONEY,TOTAL,28000.00
SURVEY,2004,COLORADO,8,0,,HONEY,TOTAL,23000.00
SURVEY,2003,COLORADO,8,0,,HONEY,TOTAL,24000.00
SURVEY,2002,COLORADO,8,0,,HONEY,TOTAL,24000.00
SURVEY,2001,COLORADO,8,0,,HONEY,TOTAL,26000.00
SURVEY,2000,COLORADO,8,0,,HONEY,TOTAL,29000.00
SURVEY,1999,COLORADO,8,0,,HONEY,TOTAL,27000.00
SURVEY,1998,COLORADO,8,0,,HONEY,TOTAL,27000.00
SURVEY,1997,COLORADO,8,0,,HONEY,TOTAL,35000.00
SURVEY,1996,COLORADO,8,0,,HONEY,TOTAL,30000.00
SURVEY,1995,COLORADO,8,0,,HONEY,TOTAL,45000.00
SURVEY,1994,COLORADO,8,0,,HONEY,TOTAL,45000.00
SURVEY,1993,COLORADO,8,0,,HONEY,TOTAL,53000.00
SURVEY,1992,COLORADO,8,0,,HONEY,TOTAL,52000.00
SURVEY,1991,COLORADO,8,0,,HONEY,TOTAL,50000.00
SURVEY,1990,COLORADO,8,0,,HONEY,TOTAL,55000.00
SURVEY,1989,COLORADO,8,0,,HONEY,TOTAL,50000.00
SURVEY,1988,COLORADO,8,0,,HONEY,TOTAL,48000.00
SURVEY,1987,COLORADO,8,0,,HONEY,TOTAL,44000.00
