Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,FLORIDA,12,0,,HONEY,TOTAL,124000.00
SURVEY,2023,FLORIDA,12,0,,HONEY,TOTAL,147000.00
SURVEY,2022,FLORIDA,12,0,,HONEY,TOTAL,210000.00
SURVEY,2021,FLORIDA,12,0,,HONEY,TOTAL,193000.00
SURVEY,2020,FLORIDA,12,0,,HONEY,TOTAL,192000.00
SURVEY,2019,FLORIDA,12,0,,HONEY,TOTAL,205000.00
SURVEY,2018,FLORIDA,12,0,,HONEY,TOTAL,215000.00
SURVEY,2017,FLORIDA,12,0,,HONEY,TOTAL,205000.00
SURVEY,2016,FLORIDA,12,0,,HONEY,TOTAL,215000.00
SURVEY,2015,FLORIDA,12,0,,HONEY,TOTAL,220000.00
SURVEY,2014,FLORIDA,12,0,,HONEY,TOTAL,245000.00
SURVEY,2013,FLORIDA,12,0,,HONEY,TOTAL,220000.00
SURVEY,2012,FLORIDA,12,0,,HONEY,TOTAL,193000.00
SURVEY,2011,FLORIDA,12,0,,HONEY,TOTAL,180000.00
SURVEY,2010,FLORIDA,12,0,,HONEY,TOTAL,200000.00
SURVEY,2009,FLORIDA,12,0,,HONEY,TOTAL,170000.00
SURVEY,2008,FLORIDA,12,0,,HONEY,TOTAL,150000.00
SURVEY,2007,FLORIDA,12,0,,HONEY,TOTAL,160000.00
SURVEY,2006,FLORIDA,12,0,,HONEY,TOTAL,170000.00
SURVEY,2005,FLORIDA,12,0,,HONEY,TOTAL,160000.00
SURVEY,2004,FLORIDA,12,0,,HONEY,TOTAL,205000.00
SURVEY,2003,FLORIDA,12,0,,HONEY,TOTAL,210000.00
SURVEY,2002,FLORIDA,12,0,,HONEY,TOTAL,220000.00
SURVEY,2001,FLORIDA,12,0,,HONEY,TOTAL,220000.00
SURVEY,2000,FLORIDA,12,0,,HONEY,TOTAL,232000.00
SURVEY,1999,FLORIDA,12,0,,HONEY,TOTAL,228000.00
SURVEY,1998,FLORIDA,12,0,,HONEY,TOTAL,230000.00
SURVEY,1997,FLORIDA,12,0,,HONEY,TOTAL,240000.00
SURVEY,1996,FLORIDA,12,0,,HONEY,TOTAL,240000.00
SURVEY,1995,FLORIDA,12,0,,HONEY,TOTAL,230000.00
SURVEY,1994,FLORIDA,12,0,,HONEY,TOTAL,230000.00
SURVEY,1993,FLORIDA,12,0,,HONEY,TOTAL,200000.00
SURVEY,1992,FLORIDA,12,0,,HONEY,TOTAL,220000.00
SURVEY,1991,FLORIDA,12,0,,HONEY,TOTAL,225000.00
SURVEY,1990,FLORIDA,12,0,,HONEY,TOTAL,220000.00
SURVEY,1989,FLORIDA,12,0,,HONEY,TOTAL,250000.00
SURVEY,1988,FLORIDA,12,0,,HONEY,TOTAL,240000.00
SURVEY,1987,FLORIDA,12,0,,HONEY,TOTAL,240000.00
