Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,GEORGIA,13,0,,HONEY,TOTAL,64000
SURVEY,2023,GEORGIA,13,0,,HONEY,TOTAL,77000
SURVEY,2022,GEORGIA,13,0,,HONEY,TOTAL,103000
SURVEY,2021,GEORGIA,13,0,,HONEY,TOTAL,96000
SURVEY,2020,GEORGIA,13,0,,HONEY,TOTAL,101000
SURVEY,2019,GEORGIA,13,0,,HONEY,TOTAL,102000
SURVEY,2018,GEORGIA,13,0,,HONEY,TOTAL,98000
SURVEY,2017,GEORGIA,13,0,,HONEY,TOTAL,99000
SURVEY,2016,GEORGIA,13,0,,HONEY,TOTAL,96000
SURVEY,2015,GEORGIA,13,0,,HONEY,TOTAL,69000
SURVEY,2014,GEORGIA,13,0,,HONEY,TOTAL,73000
SURVEY,2013,GEORGIA,13,0,,HONEY,TOTAL,67000
SURVEY,2012,GEORGIA,13,0,,HONEY,TOTAL,59000
SURVEY,2011,GEORGIA,13,0,,HONEY,TOTAL,65000
SURVEY,2010,GEORGIA,13,0,,HONEY,TOTAL,55000
SURVEY,2009,GEORGIA,13,0,,HONEY,TOTAL,65000
SURVEY,2008,GEORGIA,13,0,,HONEY,TOTAL,65000
SURVEY,2007,GEORGIA,13,0,,HONEY,TOTAL,60000
SURVEY,2006,GEORGIA,13,0,,HONEY,TOTAL,63000
SURVEY,2005,GEORGIA,13,0,,HONEY,TOTAL,59000
SURVEY,2004,GEORGIA,13,0,,HONEY,TOTAL,63000
SURVEY,2003,GEORGIA,13,0,,HONEY,TOTAL,52000
SURVEY,2002,GEORGIA,13,0,,HONEY,TOTAL,50000
SURVEY,2001,GEORGIA,13,0,,HONEY,TOTAL,55000
SURVEY,2000,GEORGIA,13,0,,HONEY,TOTAL,55000
SURVEY,1999,GEORGIA,13,0,,HONEY,TOTAL,65000
SURVEY,1998,GEORGIA,13,0,,HONEY,TOTAL,75000
SURVEY,1997,GEORGIA,13,0,,HONEY,TOTAL,75000
SURVEY,1996,GEORGIA,13,0,,HONEY,TOTAL,75000
SURVEY,1995,GEORGIA,13,0,,HONEY,TOTAL,70000
SURVEY,1994,GEORGIA,13,0,,HONEY,TOTAL,80000
SURVEY,1993,GEORGIA,13,0,,HONEY,TOTAL,80000
SURVEY,1992,GEORGIA,13,0,,HONEY,TOTAL,85000
SURVEY,1991,GEORGIA,13,0,,HONEY,TOTAL,102000
SURVEY,1990,GEORGIA,13,0,,HONEY,TOTAL,111000
SURVEY,1989,GEORGIA,13,0,,HONEY,TOTAL,116000
SURVEY,1988,GEORGIA,13,0,,HONEY,TOTAL,115000
SURVEY,1987,GEORGIA,13,0,,HONEY,TOTAL,120000
