Program,Year,State,StateANSI,Ag District,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2021,HAWAII,15,,0,,HONEY,TOTAL,20000.00
SURVEY,2020,HAWAII,15,,0,,HONEY,TOTAL,15000.00
SURVEY,2019,HAWAII,15,,0,,HONEY,TOTAL,16000.00
SURVEY,2018,HAWAII,15,,0,,HONEY,TOTAL,17000.00
SURVEY,2017,HAWAII,15,,0,,HONEY,TOTAL,19000.00
SURVEY,2016,HAWAII,15,,0,,HONEY,TOTAL,18000.00
SURVEY,2015,HAWAII,15,,0,,HONEY,TOTAL,16000.00
SURVEY,2014,HAWAII,15,,0,,HONEY,TOTAL,15000.00
SURVEY,2013,HAWAII,15,,0,,HONEY,TOTAL,13000.00
SURVEY,2012,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,2011,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,2010,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,2009,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,2008,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,2007,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,2006,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,2005,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,2004,HAWAII,15,,0,,HONEY,TOTAL,8000.00
SURVEY,2003,HAWAII,15,,0,,HONEY,TOTAL,7000.00
SURVEY,2002,HAWAII,15,,0,,HONEY,TOTAL,7000.00
SURVEY,2001,HAWAII,15,,0,,HONEY,TOTAL,8000.00
SURVEY,2000,HAWAII,15,,0,,HONEY,TOTAL,7000.00
SURVEY,1999,HAWAII,15,,0,,HONEY,TOTAL,8000.00
SURVEY,1998,HAWAII,15,,0,,HONEY,TOTAL,8000.00
SURVEY,1997,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,1996,HAWAII,15,,0,,HONEY,TOTAL,8000.00
SURVEY,1995,HAWAII,15,,0,,HONEY,TOTAL,8000.00
SURVEY,1994,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,1993,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,1992,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,1991,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,1990,HAWAII,15,,0,,HONEY,TOTAL,10000.00
SURVEY,1989,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,1988,HAWAII,15,,0,,HONEY,TOTAL,9000.00
SURVEY,1987,HAWAII,15,,0,,HONEY,TOTAL,9000.00
