Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,IDAHO,16,0,,HONEY,TOTAL,114000.00
SURVEY,2023,IDAHO,16,0,,HONEY,TOTAL,92000.00
SURVEY,2022,IDAHO,16,0,,HONEY,TOTAL,94000.00
SURVEY,2021,IDAHO,16,0,,HONEY,TOTAL,100000.00
SURVEY,2020,IDAHO,16,0,,HONEY,TOTAL,107000.00
SURVEY,2019,IDAHO,16,0,,HONEY,TOTAL,92000.00
SURVEY,2018,IDAHO,16,0,,HONEY,TOTAL,96000.00
SURVEY,2017,IDAHO,16,0,,HONEY,TOTAL,95000.00
SURVEY,2016,IDAHO,16,0,,HONEY,TOTAL,97000.00
SURVEY,2015,IDAHO,16,0,,HONEY,TOTAL,89000.00
SURVEY,2014,IDAHO,16,0,,HONEY,TOTAL,100000.00
SURVEY,2013,IDAHO,16,0,,HONEY,TOTAL,83000.00
SURVEY,2012,IDAHO,16,0,,HONEY,TOTAL,92000.00
SURVEY,2011,IDAHO,16,0,,HONEY,TOTAL,87000.00
SURVEY,2010,IDAHO,16,0,,HONEY,TOTAL,97000.00
SURVEY,2009,IDAHO,16,0,,HONEY,TOTAL,103000.00
SURVEY,2008,IDAHO,16,0,,HONEY,TOTAL,90000.00
SURVEY,2007,IDAHO,16,0,,HONEY,TOTAL,92000.00
SURVEY,2006,IDAHO,16,0,,HONEY,TOTAL,95000.00
SURVEY,2005,IDAHO,16,0,,HONEY,TOTAL,95000.00
SURVEY,2004,IDAHO,16,0,,HONEY,TOTAL,100000.00
SURVEY,2003,IDAHO,16,0,,HONEY,TOTAL,100000.00
SURVEY,2002,IDAHO,16,0,,HONEY,TOTAL,100000.00
SURVEY,2001,IDAHO,16,0,,HONEY,TOTAL,100000.00
SURVEY,2000,IDAHO,16,0,,HONEY,TOTAL,100000.00
SURVEY,1999,IDAHO,16,0,,HONEY,TOTAL,120000.00
SURVEY,1998,IDAHO,16,0,,HONEY,TOTAL,120000.00
SURVEY,1997,IDAHO,16,0,,HONEY,TOTAL,120000.00
SURVEY,1996,IDAHO,16,0,,HONEY,TOTAL,110000.00
SURVEY,1995,IDAHO,16,0,,HONEY,TOTAL,125000.00
SURVEY,1994,IDAHO,16,0,,HONEY,TOTAL,127000.00
SURVEY,1993,IDAHO,16,0,,HONEY,TOTAL,133000.00
SURVEY,1992,IDAHO,16,0,,HONEY,TOTAL,135000.00
SURVEY,1991,IDAHO,16,0,,HONEY,TOTAL,140000.00
SURVEY,1990,IDAHO,16,0,,HONEY,TOTAL,140000.00
SURVEY,1989,IDAHO,16,0,,HONEY,TOTAL,140000.00
SURVEY,1988,IDAHO,16,0,,HONEY,TOTAL,127000.00
SURVEY,1987,IDAHO,16,0,,HONEY,TOTAL,120000.00
