Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,ILLINOIS,17,0,,HONEY,TOTAL,9000.00
SURVEY,2022,ILLINOIS,17,0,,HONEY,TOTAL,10000.00
SURVEY,2021,ILLINOIS,17,0,,HONEY,TOTAL,10000.00
SURVEY,2020,ILLINOIS,17,0,,HONEY,TOTAL,10000.00
SURVEY,2019,ILLINOIS,17,0,,HONEY,TOTAL,11000.00
SURVEY,2018,ILLINOIS,17,0,,HONEY,TOTAL,11000.00
SURVEY,2017,ILLINOIS,17,0,,HONEY,TOTAL,11000.00
SURVEY,2016,ILLINOIS,17,0,,HONEY,TOTAL,10000.00
SURVEY,2015,ILLINOIS,17,0,,HONEY,TOTAL,8000.00
SURVEY,2014,ILLINOIS,17,0,,HONEY,TOTAL,8000.00
SURVEY,2013,ILLINOIS,17,0,,HONEY,TOTAL,7000.00
SURVEY,2012,ILLINOIS,17,0,,HONEY,TOTAL,7000.00
SURVEY,2011,ILLINOIS,17,0,,HONEY,TOTAL,7000.00
SURVEY,2010,ILLINOIS,17,0,,HONEY,TOTAL,9000.00
SURVEY,2009,ILLINOIS,17,0,,HONEY,TOTAL,8000.00
SURVEY,2008,ILLINOIS,17,0,,HONEY,TOTAL,8000.00
SURVEY,2007,ILLINOIS,17,0,,HONEY,TOTAL,9000.00
SURVEY,2006,ILLINOIS,17,0,,HONEY,TOTAL,10000.00
SURVEY,2005,ILLINOIS,17,0,,HONEY,TOTAL,8000.00
SURVEY,2004,ILLINOIS,17,0,,HONEY,TOTAL,7000.00
SURVEY,2003,ILLINOIS,17,0,,HONEY,TOTAL,7000.00
SURVEY,2002,ILLINOIS,17,0,,HONEY,TOTAL,9000.00
SURVEY,2001,ILLINOIS,17,0,,HONEY,TOTAL,6000.00
SURVEY,2000,ILLINOIS,17,0,,HONEY,TOTAL,8000.00
SURVEY,1999,ILLINOIS,17,0,,HONEY,TOTAL,9000.00
SURVEY,1998,ILLINOIS,17,0,,HONEY,TOTAL,9000.00
SURVEY,1997,ILLINOIS,17,0,,HONEY,TOTAL,7000.00
SURVEY,1996,ILLINOIS,17,0,,HONEY,TOTAL,11000.00
SURVEY,1995,ILLINOIS,17,0,,HONEY,TOTAL,11000.00
SURVEY,1994,ILLINOIS,17,0,,HONEY,TOTAL,13000.00
SURVEY,1993,ILLINOIS,17,0,,HONEY,TOTAL,15000.00
SURVEY,1992,ILLINOIS,17,0,,HONEY,TOTAL,16000.00
SURVEY,1991,ILLINOIS,17,0,,HONEY,TOTAL,21000.00
SURVEY,1990,ILLINOIS,17,0,,HONEY,TOTAL,23000.00
SURVEY,1989,ILLINOIS,17,0,,HONEY,TOTAL,29000.00
SURVEY,1988,ILLINOIS,17,0,,HONEY,TOTAL,28000.00
SURVEY,1987,ILLINOIS,17,0,,HONEY,TOTAL,28000.00
