Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,INDIANA,18,0,,HONEY,TOTAL,9000
SURVEY,2022,INDIANA,18,0,,HONEY,TOTAL,9000
SURVEY,2021,INDIANA,18,0,,HONEY,TOTAL,10000
SURVEY,2020,INDIANA,18,0,,HONEY,TOTAL,9000
SURVEY,2019,INDIANA,18,0,,HONEY,TOTAL,9000
SURVEY,2018,INDIANA,18,0,,HONEY,TOTAL,7000
SURVEY,2017,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,2016,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,2015,INDIANA,18,0,,HONEY,TOTAL,6000
SURVEY,2014,INDIANA,18,0,,HONEY,TOTAL,5000
SURVEY,2013,INDIANA,18,0,,HONEY,TOTAL,6000
SURVEY,2012,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,2011,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,2010,INDIANA,18,0,,HONEY,TOTAL,10000
SURVEY,2009,INDIANA,18,0,,HONEY,TOTAL,9000
SURVEY,2008,INDIANA,18,0,,HONEY,TOTAL,7000
SURVEY,2007,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,2006,INDIANA,18,0,,HONEY,TOTAL,7000
SURVEY,2005,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,2004,INDIANA,18,0,,HONEY,TOTAL,7000
SURVEY,2003,INDIANA,18,0,,HONEY,TOTAL,5000
SURVEY,2002,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,2001,INDIANA,18,0,,HONEY,TOTAL,7000
SURVEY,2000,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,1999,INDIANA,18,0,,HONEY,TOTAL,10000
SURVEY,1998,INDIANA,18,0,,HONEY,TOTAL,9000
SURVEY,1997,INDIANA,18,0,,HONEY,TOTAL,8000
SURVEY,1996,INDIANA,18,0,,HONEY,TOTAL,9000
SURVEY,1995,INDIANA,18,0,,HONEY,TOTAL,12000
SURVEY,1994,INDIANA,18,0,,HONEY,TOTAL,13000
SURVEY,1993,INDIANA,18,0,,HONEY,TOTAL,12000
SURVEY,1992,INDIANA,18,0,,HONEY,TOTAL,15000
SURVEY,1991,INDIANA,18,0,,HONEY,TOTAL,21000
SURVEY,1990,INDIANA,18,0,,HONEY,TOTAL,22000
SURVEY,1989,INDIANA,18,0,,HONEY,TOTAL,28000
SURVEY,1988,INDIANA,18,0,,HONEY,TOTAL,29000
SURVEY,1987,INDIANA,18,0,,HONEY,TOTAL,25000
