Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,IOWA,19,0,,HONEY,TOTAL,41000.00
SURVEY,2023,IOWA,19,0,,HONEY,TOTAL,40000.00
SURVEY,2022,IOWA,19,0,,HONEY,TOTAL,48000.00
SURVEY,2021,IOWA,19,0,,HONEY,TOTAL,38000.00
SURVEY,2020,IOWA,19,0,,HONEY,TOTAL,35000.00
SURVEY,2019,IOWA,19,0,,HONEY,TOTAL,38000.00
SURVEY,2018,IOWA,19,0,,HONEY,TOTAL,38000.00
SURVEY,2017,IOWA,19,0,,HONEY,TOTAL,35000.00
SURVEY,2016,IOWA,19,0,,HONEY,TOTAL,37000.00
SURVEY,2015,IOWA,19,0,,HONEY,TOTAL,36000.00
SURVEY,2014,IOWA,19,0,,HONEY,TOTAL,35000.00
SURVEY,2013,IOWA,19,0,,HONEY,TOTAL,39000.00
SURVEY,2012,IOWA,19,0,,HONEY,TOTAL,37000.00
SURVEY,2011,IOWA,19,0,,HONEY,TOTAL,25000.00
SURVEY,2010,IOWA,19,0,,HONEY,TOTAL,27000.00
SURVEY,2009,IOWA,19,0,,HONEY,TOTAL,26000.00
SURVEY,2008,IOWA,19,0,,HONEY,TOTAL,24000.00
SURVEY,2007,IOWA,19,0,,HONEY,TOTAL,26000.00
SURVEY,2006,IOWA,19,0,,HONEY,TOTAL,26000.00
SURVEY,2005,IOWA,19,0,,HONEY,TOTAL,28000.00
SURVEY,2004,IOWA,19,0,,HONEY,TOTAL,35000.00
SURVEY,2003,IOWA,19,0,,HONEY,TOTAL,32000.00
SURVEY,2002,IOWA,19,0,,HONEY,TOTAL,33000.00
SURVEY,2001,IOWA,19,0,,HONEY,TOTAL,33000.00
SURVEY,2000,IOWA,19,0,,HONEY,TOTAL,30000.00
SURVEY,1999,IOWA,19,0,,HONEY,TOTAL,40000.00
SURVEY,1998,IOWA,19,0,,HONEY,TOTAL,50000.00
SURVEY,1997,IOWA,19,0,,HONEY,TOTAL,45000.00
SURVEY,1996,IOWA,19,0,,HONEY,TOTAL,52000.00
SURVEY,1995,IOWA,19,0,,HONEY,TOTAL,45000.00
SURVEY,1994,IOWA,19,0,,HONEY,TOTAL,52000.00
SURVEY,1993,IOWA,19,0,,HONEY,TOTAL,56000.00
SURVEY,1992,IOWA,19,0,,HONEY,TOTAL,65000.00
SURVEY,1991,IOWA,19,0,,HONEY,TOTAL,70000.00
SURVEY,1990,IOWA,19,0,,HONEY,TOTAL,70000.00
SURVEY,1989,IOWA,19,0,,HONEY,TOTAL,67000.00
SURVEY,1988,IOWA,19,0,,HONEY,TOTAL,49000.00
SURVEY,1987,IOWA,19,0,,HONEY,TOTAL,44000.00
