Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,KANSAS,20,0,,HONEY,TOTAL,5000.00
SURVEY,2022,KANSAS,20,0,,HONEY,TOTAL,6000.00
SURVEY,2021,KANSAS,20,0,,HONEY,TOTAL,7000.00
SURVEY,2020,KANSAS,20,0,,HONEY,TOTAL,8000.00
SURVEY,2019,KANSAS,20,0,,HONEY,TOTAL,7000.00
SURVEY,2018,KANSAS,20,0,,HONEY,TOTAL,5000.00
SURVEY,2017,KANSAS,20,0,,HONEY,TOTAL,7000.00
SURVEY,2016,KANSAS,20,0,,HONEY,TOTAL,7000.00
SURVEY,2015,KANSAS,20,0,,HONEY,TOTAL,8000.00
SURVEY,2014,KANSAS,20,0,,HONEY,TOTAL,7000.00
SURVEY,2013,KANSAS,20,0,,HONEY,TOTAL,6000.00
SURVEY,2012,KANSAS,20,0,,HONEY,TOTAL,6000.00
SURVEY,2011,KANSAS,20,0,,HONEY,TOTAL,7000.00
SURVEY,2010,KANSAS,20,0,,HONEY,TOTAL,9000.00
SURVEY,2009,KANSAS,20,0,,HONEY,TOTAL,9000.00
SURVEY,2008,KANSAS,20,0,,HONEY,TOTAL,10000.00
SURVEY,2007,KANSAS,20,0,,HONEY,TOTAL,14000.00
SURVEY,2006,KANSAS,20,0,,HONEY,TOTAL,14000.00
SURVEY,2005,KANSAS,20,0,,HONEY,TOTAL,16000.00
SURVEY,2004,KANSAS,20,0,,HONEY,TOTAL,14000.00
SURVEY,2003,KANSAS,20,0,,HONEY,TOTAL,16000.00
SURVEY,2002,KANSAS,20,0,,HONEY,TOTAL,17000.00
SURVEY,2001,KANSAS,20,0,,HONEY,TOTAL,13000.00
SURVEY,2000,KANSAS,20,0,,HONEY,TOTAL,15000.00
SURVEY,1999,KANSAS,20,0,,HONEY,TOTAL,13000.00
SURVEY,1998,KANSAS,20,0,,HONEY,TOTAL,16000.00
SURVEY,1997,KANSAS,20,0,,HONEY,TOTAL,17000.00
SURVEY,1996,KANSAS,20,0,,HONEY,TOTAL,16000.00
SURVEY,1995,KANSAS,20,0,,HONEY,TOTAL,17000.00
SURVEY,1994,KANSAS,20,0,,HONEY,TOTAL,19000.00
SURVEY,1993,KANSAS,20,0,,HONEY,TOTAL,23000.00
SURVEY,1992,KANSAS,20,0,,HONEY,TOTAL,28000.00
SURVEY,1991,KANSAS,20,0,,HONEY,TOTAL,35000.00
SURVEY,1990,KANSAS,20,0,,HONEY,TOTAL,36000.00
SURVEY,1989,KANSAS,20,0,,HONEY,TOTAL,37000.00
SURVEY,1988,KANSAS,20,0,,HONEY,TOTAL,42000.00
SURVEY,1987,KANSAS,20,0,,HONEY,TOTAL,46000.00
