Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,KENTUCKY,21,0,,HONEY,TOTAL,10000.00
SURVEY,2022,KENTUCKY,21,0,,HONEY,TOTAL,7000.00
SURVEY,2021,KENTUCKY,21,0,,HONEY,TOTAL,7000.00
SURVEY,2020,KENTUCKY,21,0,,HONEY,TOTAL,7000.00
SURVEY,2019,KENTUCKY,21,0,,HONEY,TOTAL,6000.00
SURVEY,2018,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,2017,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2016,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2015,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2014,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2013,KENTUCKY,21,0,,HONEY,TOTAL,3000.00
SURVEY,2012,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2011,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,2010,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2009,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2008,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,2007,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,2006,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2005,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2004,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2003,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2002,KENTUCKY,21,0,,HONEY,TOTAL,5000.00
SURVEY,2001,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,2000,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,1999,KENTUCKY,21,0,,HONEY,TOTAL,3000.00
SURVEY,1998,KENTUCKY,21,0,,HONEY,TOTAL,3000.00
SURVEY,1997,KENTUCKY,21,0,,HONEY,TOTAL,3000.00
SURVEY,1996,KENTUCKY,21,0,,HONEY,TOTAL,3000.00
SURVEY,1995,KENTUCKY,21,0,,HONEY,TOTAL,3000.00
SURVEY,1994,KENTUCKY,21,0,,HONEY,TOTAL,3000.00
SURVEY,1993,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,1992,KENTUCKY,21,0,,HONEY,TOTAL,4000.00
SURVEY,1991,KENTUCKY,21,0,,HONEY,TOTAL,7000.00
SURVEY,1990,KENTUCKY,21,0,,HONEY,TOTAL,8000.00
SURVEY,1989,KENTUCKY,21,0,,HONEY,TOTAL,12000.00
SURVEY,1988,KENTUCKY,21,0,,HONEY,TOTAL,12000.00
SURVEY,1987,KENTUCKY,21,0,,HONEY,TOTAL,14000.00
