Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,LOUISIANA,22,0,,HONEY,TOTAL,68000.00
SURVEY,2023,LOUISIANA,22,0,,HONEY,TOTAL,51000.00
SURVEY,2022,LOUISIANA,22,0,,HONEY,TOTAL,42000.00
SURVEY,2021,LOUISIANA,22,0,,HONEY,TOTAL,37000.00
SURVEY,2020,LOUISIANA,22,0,,HONEY,TOTAL,33000.00
SURVEY,2019,LOUISIANA,22,0,,HONEY,TOTAL,54000.00
SURVEY,2018,LOUISIANA,22,0,,HONEY,TOTAL,45000.00
SURVEY,2017,LOUISIANA,22,0,,HONEY,TOTAL,43000.00
SURVEY,2016,LOUISIANA,22,0,,HONEY,TOTAL,50000.00
SURVEY,2015,LOUISIANA,22,0,,HONEY,TOTAL,44000.00
SURVEY,2014,LOUISIANA,22,0,,HONEY,TOTAL,48000.00
SURVEY,2013,LOUISIANA,22,0,,HONEY,TOTAL,50000.00
SURVEY,2012,LOUISIANA,22,0,,HONEY,TOTAL,41000.00
SURVEY,2011,LOUISIANA,22,0,,HONEY,TOTAL,36000.00
SURVEY,2010,LOUISIANA,22,0,,HONEY,TOTAL,36000.00
SURVEY,2009,LOUISIANA,22,0,,HONEY,TOTAL,37000.00
SURVEY,2008,LOUISIANA,22,0,,HONEY,TOTAL,40000.00
SURVEY,2007,LOUISIANA,22,0,,HONEY,TOTAL,29000.00
SURVEY,2006,LOUISIANA,22,0,,HONEY,TOTAL,30000.00
SURVEY,2005,LOUISIANA,22,0,,HONEY,TOTAL,35000.00
SURVEY,2004,LOUISIANA,22,0,,HONEY,TOTAL,35000.00
SURVEY,2003,LOUISIANA,22,0,,HONEY,TOTAL,34000.00
SURVEY,2002,LOUISIANA,22,0,,HONEY,TOTAL,35000.00
SURVEY,2001,LOUISIANA,22,0,,HONEY,TOTAL,45000.00
SURVEY,2000,LOUISIANA,22,0,,HONEY,TOTAL,43000.00
SURVEY,1999,LOUISIANA,22,0,,HONEY,TOTAL,48000.00
SURVEY,1998,LOUISIANA,22,0,,HONEY,TOTAL,41000.00
SURVEY,1997,LOUISIANA,22,0,,HONEY,TOTAL,44000.00
SURVEY,1996,LOUISIANA,22,0,,HONEY,TOTAL,44000.00
SURVEY,1995,LOUISIANA,22,0,,HONEY,TOTAL,38000.00
SURVEY,1994,LOUISIANA,22,0,,HONEY,TOTAL,40000.00
SURVEY,1993,LOUISIANA,22,0,,HONEY,TOTAL,47000.00
SURVEY,1992,LOUISIANA,22,0,,HONEY,TOTAL,45000.00
SURVEY,1991,LOUISIANA,22,0,,HONEY,TOTAL,40000.00
SURVEY,1990,LOUISIANA,22,0,,HONEY,TOTAL,38000.00
SURVEY,1989,LOUISIANA,22,0,,HONEY,TOTAL,35000.00
SURVEY,1988,LOUISIANA,22,0,,HONEY,TOTAL,38000.00
SURVEY,1987,LOUISIANA,22,0,,HONEY,TOTAL,35000.00
