Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,MAINE,23,0,,HONEY,TOTAL,12000.00
SURVEY,2022,MAINE,23,0,,HONEY,TOTAL,10000.00
SURVEY,2021,MAINE,23,0,,HONEY,TOTAL,11000.00
SURVEY,2020,MAINE,23,0,,HONEY,TOTAL,10000.00
SURVEY,2019,MAINE,23,0,,HONEY,TOTAL,15000.00
SURVEY,2018,MAINE,23,0,,HONEY,TOTAL,12000.00
SURVEY,2017,MAINE,23,0,,HONEY,TOTAL,12000.00
SURVEY,2016,MAINE,23,0,,HONEY,TOTAL,12000.00
SURVEY,2015,MAINE,23,0,,HONEY,TOTAL,10000.00
SURVEY,2014,MAINE,23,0,,HONEY,TOTAL,8000.00
SURVEY,2013,MAINE,23,0,,HONEY,TOTAL,7000.00
SURVEY,2012,MAINE,23,0,,HONEY,TOTAL,4000.00
SURVEY,2011,MAINE,23,0,,HONEY,TOTAL,4000.00
SURVEY,2010,MAINE,23,0,,HONEY,TOTAL,5000.00
SURVEY,2009,MAINE,23,0,,HONEY,TOTAL,6000.00
SURVEY,2008,MAINE,23,0,,HONEY,TOTAL,7000.00
SURVEY,2007,MAINE,23,0,,HONEY,TOTAL,9000.00
SURVEY,2006,MAINE,23,0,,HONEY,TOTAL,11000.00
SURVEY,2005,MAINE,23,0,,HONEY,TOTAL,8000.00
SURVEY,2004,MAINE,23,0,,HONEY,TOTAL,7000.00
SURVEY,2003,MAINE,23,0,,HONEY,TOTAL,8000.00
SURVEY,2002,MAINE,23,0,,HONEY,TOTAL,11000.00
SURVEY,2001,MAINE,23,0,,HONEY,TOTAL,11000.00
SURVEY,2000,MAINE,23,0,,HONEY,TOTAL,11000.00
SURVEY,1999,MAINE,23,0,,HONEY,TOTAL,14000.00
SURVEY,1998,MAINE,23,0,,HONEY,TOTAL,10000.00
SURVEY,1997,MAINE,23,0,,HONEY,TOTAL,8000.00
SURVEY,1996,MAINE,23,0,,HONEY,TOTAL,9000.00
SURVEY,1995,MAINE,23,0,,HONEY,TOTAL,11000.00
SURVEY,1994,MAINE,23,0,,HONEY,TOTAL,8000.00
SURVEY,1993,MAINE,23,0,,HONEY,TOTAL,13000.00
SURVEY,1992,MAINE,23,0,,HONEY,TOTAL,15000.00
SURVEY,1991,MAINE,23,0,,HONEY,TOTAL,13000.00
SURVEY,1990,MAINE,23,0,,HONEY,TOTAL,20000.00
SURVEY,1989,MAINE,23,0,,HONEY,TOTAL,17000.00
SURVEY,1988,MAINE,23,0,,HONEY,TOTAL,14000.00
SURVEY,1987,MAINE,23,0,,HONEY,TOTAL,9000.00
