Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,MICHIGAN,26,0,,HONEY,TOTAL,82000.00
SURVEY,2023,MICHIGAN,26,0,,HONEY,TOTAL,70000.00
SURVEY,2022,MICHIGAN,26,0,,HONEY,TOTAL,82000.00
SURVEY,2021,MICHIGAN,26,0,,HONEY,TOTAL,100000.00
SURVEY,2020,MICHIGAN,26,0,,HONEY,TOTAL,95000.00
SURVEY,2019,MICHIGAN,26,0,,HONEY,TOTAL,94000.00
SURVEY,2018,MICHIGAN,26,0,,HONEY,TOTAL,97000.00
SURVEY,2017,MICHIGAN,26,0,,HONEY,TOTAL,87000.00
SURVEY,2016,MICHIGAN,26,0,,HONEY,TOTAL,89000.00
SURVEY,2015,MICHIGAN,26,0,,HONEY,TOTAL,90000.00
SURVEY,2014,MICHIGAN,26,0,,HONEY,TOTAL,91000.00
SURVEY,2013,MICHIGAN,26,0,,HONEY,TOTAL,85000.00
SURVEY,2012,MICHIGAN,26,0,,HONEY,TOTAL,73000.00
SURVEY,2011,MICHIGAN,26,0,,HONEY,TOTAL,74000.00
SURVEY,2010,MICHIGAN,26,0,,HONEY,TOTAL,71000.00
SURVEY,2009,MICHIGAN,26,0,,HONEY,TOTAL,66000.00
SURVEY,2008,MICHIGAN,26,0,,HONEY,TOTAL,71000.00
SURVEY,2007,MICHIGAN,26,0,,HONEY,TOTAL,72000.00
SURVEY,2006,MICHIGAN,26,0,,HONEY,TOTAL,72000.00
SURVEY,2005,MICHIGAN,26,0,,HONEY,TOTAL,65000.00
SURVEY,2004,MICHIGAN,26,0,,HONEY,TOTAL,65000.00
SURVEY,2003,MICHIGAN,26,0,,HONEY,TOTAL,65000.00
SURVEY,2002,MICHIGAN,26,0,,HONEY,TOTAL,72000.00
SURVEY,2001,MICHIGAN,26,0,,HONEY,TOTAL,76000.00
SURVEY,2000,MICHIGAN,26,0,,HONEY,TOTAL,72000.00
SURVEY,1999,MICHIGAN,26,0,,HONEY,TOTAL,73000.00
SURVEY,1998,MICHIGAN,26,0,,HONEY,TOTAL,80000.00
SURVEY,1997,MICHIGAN,26,0,,HONEY,TOTAL,85000.00
SURVEY,1996,MICHIGAN,26,0,,HONEY,TOTAL,90000.00
SURVEY,1995,MICHIGAN,26,0,,HONEY,TOTAL,97000.00
SURVEY,1994,MICHIGAN,26,0,,HONEY,TOTAL,90000.00
SURVEY,1993,MICHIGAN,26,0,,HONEY,TOTAL,90000.00
SURVEY,1992,MICHIGAN,26,0,,HONEY,TOTAL,95000.00
SURVEY,1991,MICHIGAN,26,0,,HONEY,TOTAL,105000.00
SURVEY,1990,MICHIGAN,26,0,,HONEY,TOTAL,100000.00
SURVEY,1989,MICHIGAN,26,0,,HONEY,TOTAL,102000.00
SURVEY,1988,MICHIGAN,26,0,,HONEY,TOTAL,95000.00
SURVEY,1987,MICHIGAN,26,0,,HONEY,TOTAL,93000.00
