Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,MINNESOTA,27,0,,HONEY,TOTAL,127000.00
SURVEY,2023,MINNESOTA,27,0,,HONEY,TOTAL,106000.00
SURVEY,2022,MINNESOTA,27,0,,HONEY,TOTAL,102000.00
SURVEY,2021,MINNESOTA,27,0,,HONEY,TOTAL,125000.00
SURVEY,2020,MINNESOTA,27,0,,HONEY,TOTAL,108000.00
SURVEY,2019,MINNESOTA,27,0,,HONEY,TOTAL,118000.00
SURVEY,2018,MINNESOTA,27,0,,HONEY,TOTAL,119000.00
SURVEY,2017,MINNESOTA,27,0,,HONEY,TOTAL,126000.00
SURVEY,2016,MINNESOTA,27,0,,HONEY,TOTAL,124000.00
SURVEY,2015,MINNESOTA,27,0,,HONEY,TOTAL,122000.00
SURVEY,2014,MINNESOTA,27,0,,HONEY,TOTAL,132000.00
SURVEY,2013,MINNESOTA,27,0,,HONEY,TOTAL,130000.00
SURVEY,2012,MINNESOTA,27,0,,HONEY,TOTAL,125000.00
SURVEY,2011,MINNESOTA,27,0,,HONEY,TOTAL,120000.00
SURVEY,2010,MINNESOTA,27,0,,HONEY,TOTAL,128000.00
SURVEY,2009,MINNESOTA,27,0,,HONEY,TOTAL,122000.00
SURVEY,2008,MINNESOTA,27,0,,HONEY,TOTAL,122000.00
SURVEY,2007,MINNESOTA,27,0,,HONEY,TOTAL,130000.00
SURVEY,2006,MINNESOTA,27,0,,HONEY,TOTAL,125000.00
SURVEY,2005,MINNESOTA,27,0,,HONEY,TOTAL,120000.00
SURVEY,2004,MINNESOTA,27,0,,HONEY,TOTAL,135000.00
SURVEY,2003,MINNESOTA,27,0,,HONEY,TOTAL,120000.00
SURVEY,2002,MINNESOTA,27,0,,HONEY,TOTAL,117000.00
SURVEY,2001,MINNESOTA,27,0,,HONEY,TOTAL,135000.00
SURVEY,2000,MINNESOTA,27,0,,HONEY,TOTAL,150000.00
SURVEY,1999,MINNESOTA,27,0,,HONEY,TOTAL,145000.00
SURVEY,1998,MINNESOTA,27,0,,HONEY,TOTAL,140000.00
SURVEY,1997,MINNESOTA,27,0,,HONEY,TOTAL,145000.00
SURVEY,1996,MINNESOTA,27,0,,HONEY,TOTAL,150000.00
SURVEY,1995,MINNESOTA,27,0,,HONEY,TOTAL,165000.00
SURVEY,1994,MINNESOTA,27,0,,HONEY,TOTAL,170000.00
SURVEY,1993,MINNESOTA,27,0,,HONEY,TOTAL,180000.00
SURVEY,1992,MINNESOTA,27,0,,HONEY,TOTAL,190000.00
SURVEY,1991,MINNESOTA,27,0,,HONEY,TOTAL,180000.00
SURVEY,1990,MINNESOTA,27,0,,HONEY,TOTAL,170000.00
SURVEY,1989,MINNESOTA,27,0,,HONEY,TOTAL,165000.00
SURVEY,1988,MINNESOTA,27,0,,HONEY,TOTAL,160000.00
SURVEY,1987,MINNESOTA,27,0,,HONEY,TOTAL,160000.00
