Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,MISSISSIPPI,28,0,,HONEY,TOTAL,29000.00
SURVEY,2023,MISSISSIPPI,28,0,,HONEY,TOTAL,25000.00
SURVEY,2022,MISSISSIPPI,28,0,,HONEY,TOTAL,21000.00
SURVEY,2021,MISSISSIPPI,28,0,,HONEY,TOTAL,25000.00
SURVEY,2020,MISSISSIPPI,28,0,,HONEY,TOTAL,25000.00
SURVEY,2019,MISSISSIPPI,28,0,,HONEY,TOTAL,22000.00
SURVEY,2018,MISSISSIPPI,28,0,,HONEY,TOTAL,20000.00
SURVEY,2017,MISSISSIPPI,28,0,,HONEY,TOTAL,18000.00
SURVEY,2016,MISSISSIPPI,28,0,,HONEY,TOTAL,19000.00
SURVEY,2015,MISSISSIPPI,28,0,,HONEY,TOTAL,15000.00
SURVEY,2014,MISSISSIPPI,28,0,,HONEY,TOTAL,20000.00
SURVEY,2013,MISSISSIPPI,28,0,,HONEY,TOTAL,17000.00
SURVEY,2012,MISSISSIPPI,28,0,,HONEY,TOTAL,18000.00
SURVEY,2011,MISSISSIPPI,28,0,,HONEY,TOTAL,18000.00
SURVEY,2010,MISSISSIPPI,28,0,,HONEY,TOTAL,16000.00
SURVEY,2009,MISSISSIPPI,28,0,,HONEY,TOTAL,14000.00
SURVEY,2008,MISSISSIPPI,28,0,,HONEY,TOTAL,14000.00
SURVEY,2007,MISSISSIPPI,28,0,,HONEY,TOTAL,15000.00
SURVEY,2006,MISSISSIPPI,28,0,,HONEY,TOTAL,14000.00
SURVEY,2005,MISSISSIPPI,28,0,,HONEY,TOTAL,16000.00
SURVEY,2004,MISSISSIPPI,28,0,,HONEY,TOTAL,18000.00
SURVEY,2003,MISSISSIPPI,28,0,,HONEY,TOTAL,21000.00
SURVEY,2002,MISSISSIPPI,28,0,,HONEY,TOTAL,18000.00
SURVEY,2001,MISSISSIPPI,28,0,,HONEY,TOTAL,17000.00
SURVEY,2000,MISSISSIPPI,28,0,,HONEY,TOTAL,17000.00
SURVEY,1999,MISSISSIPPI,28,0,,HONEY,TOTAL,18000.00
SURVEY,1998,MISSISSIPPI,28,0,,HONEY,TOTAL,18000.00
SURVEY,1997,MISSISSIPPI,28,0,,HONEY,TOTAL,19000.00
SURVEY,1996,MISSISSIPPI,28,0,,HONEY,TOTAL,17000.00
SURVEY,1995,MISSISSIPPI,28,0,,HONEY,TOTAL,16000.00
SURVEY,1994,MISSISSIPPI,28,0,,HONEY,TOTAL,19000.00
SURVEY,1993,MISSISSIPPI,28,0,,HONEY,TOTAL,17000.00
SURVEY,1992,MISSISSIPPI,28,0,,HONEY,TOTAL,25000.00
SURVEY,1991,MISSISSIPPI,28,0,,HONEY,TOTAL,28000.00
SURVEY,1990,MISSISSIPPI,28,0,,HONEY,TOTAL,24000.00
SURVEY,1989,MISSISSIPPI,28,0,,HONEY,TOTAL,24000.00
SURVEY,1988,MISSISSIPPI,28,0,,HONEY,TOTAL,21000.00
SURVEY,1987,MISSISSIPPI,28,0,,HONEY,TOTAL,19000.00
