Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,MISSOURI,29,0,,HONEY,TOTAL,9000.00
SURVEY,2022,MISSOURI,29,0,,HONEY,TOTAL,8000.00
SURVEY,2021,MISSOURI,29,0,,HONEY,TOTAL,8000.00
SURVEY,2020,MISSOURI,29,0,,HONEY,TOTAL,9000.00
SURVEY,2019,MISSOURI,29,0,,HONEY,TOTAL,10000.00
SURVEY,2018,MISSOURI,29,0,,HONEY,TOTAL,9000.00
SURVEY,2017,MISSOURI,29,0,,HONEY,TOTAL,8000.00
SURVEY,2016,MISSOURI,29,0,,HONEY,TOTAL,8000.00
SURVEY,2015,MISSOURI,29,0,,HONEY,TOTAL,10000.00
SURVEY,2014,MISSOURI,29,0,,HONEY,TOTAL,12000.00
SURVEY,2013,MISSOURI,29,0,,HONEY,TOTAL,10000.00
SURVEY,2012,MISSOURI,29,0,,HONEY,TOTAL,7000.00
SURVEY,2011,MISSOURI,29,0,,HONEY,TOTAL,8000.00
SURVEY,2010,MISSOURI,29,0,,HONEY,TOTAL,11000.00
SURVEY,2009,MISSOURI,29,0,,HONEY,TOTAL,11000.00
SURVEY,2008,MISSOURI,29,0,,HONEY,TOTAL,11000.00
SURVEY,2007,MISSOURI,29,0,,HONEY,TOTAL,14000.00
SURVEY,2006,MISSOURI,29,0,,HONEY,TOTAL,15000.00
SURVEY,2005,MISSOURI,29,0,,HONEY,TOTAL,15000.00
SURVEY,2004,MISSOURI,29,0,,HONEY,TOTAL,16000.00
SURVEY,2003,MISSOURI,29,0,,HONEY,TOTAL,17000.00
SURVEY,2002,MISSOURI,29,0,,HONEY,TOTAL,18000.00
SURVEY,2001,MISSOURI,29,0,,HONEY,TOTAL,22000.00
SURVEY,2000,MISSOURI,29,0,,HONEY,TOTAL,23000.00
SURVEY,1999,MISSOURI,29,0,,HONEY,TOTAL,24000.00
SURVEY,1998,MISSOURI,29,0,,HONEY,TOTAL,23000.00
SURVEY,1997,MISSOURI,29,0,,HONEY,TOTAL,24000.00
SURVEY,1996,MISSOURI,29,0,,HONEY,TOTAL,22000.00
SURVEY,1995,MISSOURI,29,0,,HONEY,TOTAL,23000.00
SURVEY,1994,MISSOURI,29,0,,HONEY,TOTAL,25000.00
SURVEY,1993,MISSOURI,29,0,,HONEY,TOTAL,24000.00
SURVEY,1992,MISSOURI,29,0,,HONEY,TOTAL,25000.00
SURVEY,1991,MISSOURI,29,0,,HONEY,TOTAL,28000.00
SURVEY,1990,MISSOURI,29,0,,HONEY,TOTAL,30000.00
SURVEY,1989,MISSOURI,29,0,,HONEY,TOTAL,33000.00
SURVEY,1988,MISSOURI,29,0,,HONEY,TOTAL,30000.00
SURVEY,1987,MISSOURI,29,0,,HONEY,TOTAL,30000.00
