Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,MONTANA,30,0,,HONEY,TOTAL,142000.00
SURVEY,2023,MONTANA,30,0,,HONEY,TOTAL,114000.00
SURVEY,2022,MONTANA,30,0,,HONEY,TOTAL,123000.00
SURVEY,2021,MONTANA,30,0,,HONEY,TOTAL,117000.00
SURVEY,2020,MONTANA,30,0,,HONEY,TOTAL,110000.00
SURVEY,2019,MONTANA,30,0,,HONEY,TOTAL,173000.00
SURVEY,2018,MONTANA,30,0,,HONEY,TOTAL,160000.00
SURVEY,2017,MONTANA,30,0,,HONEY,TOTAL,145000.00
SURVEY,2016,MONTANA,30,0,,HONEY,TOTAL,159000.00
SURVEY,2015,MONTANA,30,0,,HONEY,TOTAL,146000.00
SURVEY,2014,MONTANA,30,0,,HONEY,TOTAL,162000.00
SURVEY,2013,MONTANA,30,0,,HONEY,TOTAL,159000.00
SURVEY,2012,MONTANA,30,0,,HONEY,TOTAL,145000.00
SURVEY,2011,MONTANA,30,0,,HONEY,TOTAL,145000.00
SURVEY,2010,MONTANA,30,0,,HONEY,TOTAL,157000.00
SURVEY,2009,MONTANA,30,0,,HONEY,TOTAL,146000.00
SURVEY,2008,MONTANA,30,0,,HONEY,TOTAL,134000.00
SURVEY,2007,MONTANA,30,0,,HONEY,TOTAL,135000.00
SURVEY,2006,MONTANA,30,0,,HONEY,TOTAL,132000.00
SURVEY,2005,MONTANA,30,0,,HONEY,TOTAL,130000.00
SURVEY,2004,MONTANA,30,0,,HONEY,TOTAL,140000.00
SURVEY,2003,MONTANA,30,0,,HONEY,TOTAL,145000.00
SURVEY,2002,MONTANA,30,0,,HONEY,TOTAL,134000.00
SURVEY,2001,MONTANA,30,0,,HONEY,TOTAL,136000.00
SURVEY,2000,MONTANA,30,0,,HONEY,TOTAL,124000.00
SURVEY,1999,MONTANA,30,0,,HONEY,TOTAL,122000.00
SURVEY,1998,MONTANA,30,0,,HONEY,TOTAL,115000.00
SURVEY,1997,MONTANA,30,0,,HONEY,TOTAL,107000.00
SURVEY,1996,MONTANA,30,0,,HONEY,TOTAL,117000.00
SURVEY,1995,MONTANA,30,0,,HONEY,TOTAL,106000.00
SURVEY,1994,MONTANA,30,0,,HONEY,TOTAL,119000.00
SURVEY,1993,MONTANA,30,0,,HONEY,TOTAL,95000.00
SURVEY,1992,MONTANA,30,0,,HONEY,TOTAL,87000.00
SURVEY,1991,MONTANA,30,0,,HONEY,TOTAL,86000.00
SURVEY,1990,MONTANA,30,0,,HONEY,TOTAL,98000.00
SURVEY,1989,MONTANA,30,0,,HONEY,TOTAL,100000.00
SURVEY,1988,MONTANA,30,0,,HONEY,TOTAL,105000.00
SURVEY,1987,MONTANA,30,0,,HONEY,TOTAL,95000.00
