Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,NEW JERSEY,34,0,,HONEY,TOTAL,15000.00
SURVEY,2022,NEW JERSEY,34,0,,HONEY,TOTAL,16000.00
SURVEY,2021,NEW JERSEY,34,0,,HONEY,TOTAL,15000.00
SURVEY,2020,NEW JERSEY,34,0,,HONEY,TOTAL,14000.00
SURVEY,2019,NEW JERSEY,34,0,,HONEY,TOTAL,15000.00
SURVEY,2018,NEW JERSEY,34,0,,HONEY,TOTAL,13000.00
SURVEY,2017,NEW JERSEY,34,0,,HONEY,TOTAL,13000.00
SURVEY,2016,NEW JERSEY,34,0,,HONEY,TOTAL,12000.00
SURVEY,2015,NEW JERSEY,34,0,,HONEY,TOTAL,12000.00
SURVEY,2014,NEW JERSEY,34,0,,HONEY,TOTAL,12000.00
SURVEY,2013,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,2012,NEW JERSEY,34,0,,HONEY,TOTAL,14000.00
SURVEY,2011,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,2010,NEW JERSEY,34,0,,HONEY,TOTAL,13000.00
SURVEY,2009,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,2008,NEW JERSEY,34,0,,HONEY,TOTAL,9000.00
SURVEY,2007,NEW JERSEY,34,0,,HONEY,TOTAL,9000.00
SURVEY,2006,NEW JERSEY,34,0,,HONEY,TOTAL,9000.00
SURVEY,2005,NEW JERSEY,34,0,,HONEY,TOTAL,12000.00
SURVEY,2004,NEW JERSEY,34,0,,HONEY,TOTAL,12000.00
SURVEY,2003,NEW JERSEY,34,0,,HONEY,TOTAL,10000.00
SURVEY,2002,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,2001,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,2000,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,1999,NEW JERSEY,34,0,,HONEY,TOTAL,10000.00
SURVEY,1998,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,1997,NEW JERSEY,34,0,,HONEY,TOTAL,10000.00
SURVEY,1996,NEW JERSEY,34,0,,HONEY,TOTAL,7000.00
SURVEY,1995,NEW JERSEY,34,0,,HONEY,TOTAL,10000.00
SURVEY,1994,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,1993,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,1992,NEW JERSEY,34,0,,HONEY,TOTAL,8000.00
SURVEY,1991,NEW JERSEY,34,0,,HONEY,TOTAL,11000.00
SURVEY,1990,NEW JERSEY,34,0,,HONEY,TOTAL,15000.00
SURVEY,1989,NEW JERSEY,34,0,,HONEY,TOTAL,25000.00
SURVEY,1988,NEW JERSEY,34,0,,HONEY,TOTAL,30000.00
SURVEY,1987,NEW JERSEY,34,0,,HONEY,TOTAL,25000.00
