Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,NEW YORK,36,0,,HONEY,TOTAL,52000.00
SURVEY,2023,NEW YORK,36,0,,HONEY,TOTAL,41000.00
SURVEY,2022,NEW YORK,36,0,,HONEY,TOTAL,54000.00
SURVEY,2021,NEW YORK,36,0,,HONEY,TOTAL,57000.00
SURVEY,2020,NEW YORK,36,0,,HONEY,TOTAL,58000.00
SURVEY,2019,NEW YORK,36,0,,HONEY,TOTAL,59000.00
SURVEY,2018,NEW YORK,36,0,,HONEY,TOTAL,56000.00
SURVEY,2017,NEW YORK,36,0,,HONEY,TOTAL,57000.00
SURVEY,2016,NEW YORK,36,0,,HONEY,TOTAL,64000.00
SURVEY,2015,NEW YORK,36,0,,HONEY,TOTAL,58000.00
SURVEY,2014,NEW YORK,36,0,,HONEY,TOTAL,60000.00
SURVEY,2013,NEW YORK,36,0,,HONEY,TOTAL,55000.00
SURVEY,2012,NEW YORK,36,0,,HONEY,TOTAL,51000.00
SURVEY,2011,NEW YORK,36,0,,HONEY,TOTAL,49000.00
SURVEY,2010,NEW YORK,36,0,,HONEY,TOTAL,45000.00
SURVEY,2009,NEW YORK,36,0,,HONEY,TOTAL,45000.00
SURVEY,2008,NEW YORK,36,0,,HONEY,TOTAL,50000.00
SURVEY,2007,NEW YORK,36,0,,HONEY,TOTAL,53000.00
SURVEY,2006,NEW YORK,36,0,,HONEY,TOTAL,58000.00
SURVEY,2005,NEW YORK,36,0,,HONEY,TOTAL,59000.00
SURVEY,2004,NEW YORK,36,0,,HONEY,TOTAL,64000.00
SURVEY,2003,NEW YORK,36,0,,HONEY,TOTAL,67000.00
SURVEY,2002,NEW YORK,36,0,,HONEY,TOTAL,60000.00
SURVEY,2001,NEW YORK,36,0,,HONEY,TOTAL,53000.00
SURVEY,2000,NEW YORK,36,0,,HONEY,TOTAL,58000.00
SURVEY,1999,NEW YORK,36,0,,HONEY,TOTAL,69000.00
SURVEY,1998,NEW YORK,36,0,,HONEY,TOTAL,65000.00
SURVEY,1997,NEW YORK,36,0,,HONEY,TOTAL,72000.00
SURVEY,1996,NEW YORK,36,0,,HONEY,TOTAL,68000.00
SURVEY,1995,NEW YORK,36,0,,HONEY,TOTAL,70000.00
SURVEY,1994,NEW YORK,36,0,,HONEY,TOTAL,68000.00
SURVEY,1993,NEW YORK,36,0,,HONEY,TOTAL,65000.00
SURVEY,1992,NEW YORK,36,0,,HONEY,TOTAL,70000.00
SURVEY,1991,NEW YORK,36,0,,HONEY,TOTAL,77000.00
SURVEY,1990,NEW YORK,36,0,,HONEY,TOTAL,81000.00
SURVEY,1989,NEW YORK,36,0,,HONEY,TOTAL,94000.00
SURVEY,1988,NEW YORK,36,0,,HONEY,TOTAL,94000.00
SURVEY,1987,NEW YORK,36,0,,HONEY,TOTAL,90000.00
