Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,NEBRASKA,31,0,,HONEY,TOTAL,33000.00
SURVEY,2022,NEBRASKA,31,0,,HONEY,TOTAL,34000.00
SURVEY,2021,NEBRASKA,31,0,,HONEY,TOTAL,38000.00
SURVEY,2020,NEBRASKA,31,0,,HONEY,TOTAL,37000.00
SURVEY,2019,NEBRASKA,31,0,,HONEY,TOTAL,39000.00
SURVEY,2018,NEBRASKA,31,0,,HONEY,TOTAL,40000.00
SURVEY,2017,NEBRASKA,31,0,,HONEY,TOTAL,42000.00
SURVEY,2016,NEBRASKA,31,0,,HONEY,TOTAL,48000.00
SURVEY,2015,NEBRASKA,31,0,,HONEY,TOTAL,57000.00
SURVEY,2014,NEBRASKA,31,0,,HONEY,TOTAL,50000.00
SURVEY,2013,NEBRASKA,31,0,,HONEY,TOTAL,46000.00
SURVEY,2012,NEBRASKA,31,0,,HONEY,TOTAL,43000.00
SURVEY,2011,NEBRASKA,31,0,,HONEY,TOTAL,41000.00
SURVEY,2010,NEBRASKA,31,0,,HONEY,TOTAL,41000.00
SURVEY,2009,NEBRASKA,31,0,,HONEY,TOTAL,48000.00
SURVEY,2008,NEBRASKA,31,0,,HONEY,TOTAL,36000.00
SURVEY,2007,NEBRASKA,31,0,,HONEY,TOTAL,45000.00
SURVEY,2006,NEBRASKA,31,0,,HONEY,TOTAL,47000.00
SURVEY,2005,NEBRASKA,31,0,,HONEY,TOTAL,40000.00
SURVEY,2004,NEBRASKA,31,0,,HONEY,TOTAL,51000.00
SURVEY,2003,NEBRASKA,31,0,,HONEY,TOTAL,45000.00
SURVEY,2002,NEBRASKA,31,0,,HONEY,TOTAL,43000.00
SURVEY,2001,NEBRASKA,31,0,,HONEY,TOTAL,43000.00
SURVEY,2000,NEBRASKA,31,0,,HONEY,TOTAL,50000.00
SURVEY,1999,NEBRASKA,31,0,,HONEY,TOTAL,58000.00
SURVEY,1998,NEBRASKA,31,0,,HONEY,TOTAL,64000.00
SURVEY,1997,NEBRASKA,31,0,,HONEY,TOTAL,61000.00
SURVEY,1996,NEBRASKA,31,0,,HONEY,TOTAL,65000.00
SURVEY,1995,NEBRASKA,31,0,,HONEY,TOTAL,60000.00
SURVEY,1994,NEBRASKA,31,0,,HONEY,TOTAL,72000.00
SURVEY,1993,NEBRASKA,31,0,,HONEY,TOTAL,83000.00
SURVEY,1992,NEBRASKA,31,0,,HONEY,TOTAL,96000.00
SURVEY,1991,NEBRASKA,31,0,,HONEY,TOTAL,108000.00
SURVEY,1990,NEBRASKA,31,0,,HONEY,TOTAL,118000.00
SURVEY,1989,NEBRASKA,31,0,,HONEY,TOTAL,119000.00
SURVEY,1988,NEBRASKA,31,0,,HONEY,TOTAL,113000.00
SURVEY,1987,NEBRASKA,31,0,,HONEY,TOTAL,110000.00
