Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,NORTH CAROLINA,37,0,,HONEY,TOTAL,15000.00
SURVEY,2023,NORTH CAROLINA,37,0,,HONEY,TOTAL,11000.00
SURVEY,2022,NORTH CAROLINA,37,0,,HONEY,TOTAL,13000.00
SURVEY,2021,NORTH CAROLINA,37,0,,HONEY,TOTAL,13000.00
SURVEY,2020,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,2019,NORTH CAROLINA,37,0,,HONEY,TOTAL,14000.00
SURVEY,2018,NORTH CAROLINA,37,0,,HONEY,TOTAL,10000.00
SURVEY,2017,NORTH CAROLINA,37,0,,HONEY,TOTAL,11000.00
SURVEY,2016,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,2015,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,2014,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,2013,NORTH CAROLINA,37,0,,HONEY,TOTAL,10000.00
SURVEY,2012,NORTH CAROLINA,37,0,,HONEY,TOTAL,13000.00
SURVEY,2011,NORTH CAROLINA,37,0,,HONEY,TOTAL,14000.00
SURVEY,2010,NORTH CAROLINA,37,0,,HONEY,TOTAL,13000.00
SURVEY,2009,NORTH CAROLINA,37,0,,HONEY,TOTAL,11000.00
SURVEY,2008,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,2007,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,2006,NORTH CAROLINA,37,0,,HONEY,TOTAL,10000.00
SURVEY,2005,NORTH CAROLINA,37,0,,HONEY,TOTAL,10000.00
SURVEY,2004,NORTH CAROLINA,37,0,,HONEY,TOTAL,9000.00
SURVEY,2003,NORTH CAROLINA,37,0,,HONEY,TOTAL,10000.00
SURVEY,2002,NORTH CAROLINA,37,0,,HONEY,TOTAL,16000.00
SURVEY,2001,NORTH CAROLINA,37,0,,HONEY,TOTAL,13000.00
SURVEY,2000,NORTH CAROLINA,37,0,,HONEY,TOTAL,11000.00
SURVEY,1999,NORTH CAROLINA,37,0,,HONEY,TOTAL,9000.00
SURVEY,1998,NORTH CAROLINA,37,0,,HONEY,TOTAL,8000.00
SURVEY,1997,NORTH CAROLINA,37,0,,HONEY,TOTAL,8000.00
SURVEY,1996,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,1995,NORTH CAROLINA,37,0,,HONEY,TOTAL,12000.00
SURVEY,1994,NORTH CAROLINA,37,0,,HONEY,TOTAL,15000.00
SURVEY,1993,NORTH CAROLINA,37,0,,HONEY,TOTAL,15000.00
SURVEY,1992,NORTH CAROLINA,37,0,,HONEY,TOTAL,15000.00
SURVEY,1991,NORTH CAROLINA,37,0,,HONEY,TOTAL,18000.00
SURVEY,1990,NORTH CAROLINA,37,0,,HONEY,TOTAL,20000.00
SURVEY,1989,NORTH CAROLINA,37,0,,HONEY,TOTAL,25000.00
SURVEY,1988,NORTH CAROLINA,37,0,,HONEY,TOTAL,21000.00
SURVEY,1987,NORTH CAROLINA,37,0,,HONEY,TOTAL,20000.00
