Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,NORTH DAKOTA,38,0,,HONEY,TOTAL,490000.00
SURVEY,2023,NORTH DAKOTA,38,0,,HONEY,TOTAL,510000.00
SURVEY,2022,NORTH DAKOTA,38,0,,HONEY,TOTAL,520000.00
SURVEY,2021,NORTH DAKOTA,38,0,,HONEY,TOTAL,515000.00
SURVEY,2020,NORTH DAKOTA,38,0,,HONEY,TOTAL,495000.00
SURVEY,2019,NORTH DAKOTA,38,0,,HONEY,TOTAL,520000.00
SURVEY,2018,NORTH DAKOTA,38,0,,HONEY,TOTAL,550000.00
SURVEY,2017,NORTH DAKOTA,38,0,,HONEY,TOTAL,455000.00
SURVEY,2016,NORTH DAKOTA,38,0,,HONEY,TOTAL,485000.00
SURVEY,2015,NORTH DAKOTA,38,0,,HONEY,TOTAL,490000.00
SURVEY,2014,NORTH DAKOTA,38,0,,HONEY,TOTAL,490000.00
SURVEY,2013,NORTH DAKOTA,38,0,,HONEY,TOTAL,480000.00
SURVEY,2012,NORTH DAKOTA,38,0,,HONEY,TOTAL,480000.00
SURVEY,2011,NORTH DAKOTA,38,0,,HONEY,TOTAL,460000.00
SURVEY,2010,NORTH DAKOTA,38,0,,HONEY,TOTAL,510000.00
SURVEY,2009,NORTH DAKOTA,38,0,,HONEY,TOTAL,450000.00
SURVEY,2008,NORTH DAKOTA,38,0,,HONEY,TOTAL,400000.00
SURVEY,2007,NORTH DAKOTA,38,0,,HONEY,TOTAL,420000.00
SURVEY,2006,NORTH DAKOTA,38,0,,HONEY,TOTAL,350000.00
SURVEY,2005,NORTH DAKOTA,38,0,,HONEY,TOTAL,370000.00
SURVEY,2004,NORTH DAKOTA,38,0,,HONEY,TOTAL,390000.00
SURVEY,2003,NORTH DAKOTA,38,0,,HONEY,TOTAL,340000.00
SURVEY,2002,NORTH DAKOTA,38,0,,HONEY,TOTAL,320000.00
SURVEY,2001,NORTH DAKOTA,38,0,,HONEY,TOTAL,280000.00
SURVEY,2000,NORTH DAKOTA,38,0,,HONEY,TOTAL,300000.00
SURVEY,1999,NORTH DAKOTA,38,0,,HONEY,TOTAL,255000.00
SURVEY,1998,NORTH DAKOTA,38,0,,HONEY,TOTAL,230000.00
SURVEY,1997,NORTH DAKOTA,38,0,,HONEY,TOTAL,245000.00
SURVEY,1996,NORTH DAKOTA,38,0,,HONEY,TOTAL,230000.00
SURVEY,1995,NORTH DAKOTA,38,0,,HONEY,TOTAL,220000.00
SURVEY,1994,NORTH DAKOTA,38,0,,HONEY,TOTAL,235000.00
SURVEY,1993,NORTH DAKOTA,38,0,,HONEY,TOTAL,220000.00
SURVEY,1992,NORTH DAKOTA,38,0,,HONEY,TOTAL,240000.00
SURVEY,1991,NORTH DAKOTA,38,0,,HONEY,TOTAL,215000.00
SURVEY,1990,NORTH DAKOTA,38,0,,HONEY,TOTAL,220000.00
SURVEY,1989,NORTH DAKOTA,38,0,,HONEY,TOTAL,310000.00
SURVEY,1988,NORTH DAKOTA,38,0,,HONEY,TOTAL,250000.00
SURVEY,1987,NORTH DAKOTA,38,0,,HONEY,TOTAL,300000.00
