Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,OHIO,39,0,,HONEY,TOTAL,22000.00
SURVEY,2023,OHIO,39,0,,HONEY,TOTAL,20000.00
SURVEY,2022,OHIO,39,0,,HONEY,TOTAL,19000.00
SURVEY,2021,OHIO,39,0,,HONEY,TOTAL,16000.00
SURVEY,2020,OHIO,39,0,,HONEY,TOTAL,16000.00
SURVEY,2019,OHIO,39,0,,HONEY,TOTAL,15000.00
SURVEY,2018,OHIO,39,0,,HONEY,TOTAL,14000.00
SURVEY,2017,OHIO,39,0,,HONEY,TOTAL,15000.00
SURVEY,2016,OHIO,39,0,,HONEY,TOTAL,15000.00
SURVEY,2015,OHIO,39,0,,HONEY,TOTAL,17000.00
SURVEY,2014,OHIO,39,0,,HONEY,TOTAL,15000.00
SURVEY,2013,OHIO,39,0,,HONEY,TOTAL,17000.00
SURVEY,2012,OHIO,39,0,,HONEY,TOTAL,18000.00
SURVEY,2011,OHIO,39,0,,HONEY,TOTAL,15000.00
SURVEY,2010,OHIO,39,0,,HONEY,TOTAL,18000.00
SURVEY,2009,OHIO,39,0,,HONEY,TOTAL,11000.00
SURVEY,2008,OHIO,39,0,,HONEY,TOTAL,14000.00
SURVEY,2007,OHIO,39,0,,HONEY,TOTAL,14000.00
SURVEY,2006,OHIO,39,0,,HONEY,TOTAL,14000.00
SURVEY,2005,OHIO,39,0,,HONEY,TOTAL,15000.00
SURVEY,2004,OHIO,39,0,,HONEY,TOTAL,16000.00
SURVEY,2003,OHIO,39,0,,HONEY,TOTAL,15000.00
SURVEY,2002,OHIO,39,0,,HONEY,TOTAL,18000.00
SURVEY,2001,OHIO,39,0,,HONEY,TOTAL,18000.00
SURVEY,2000,OHIO,39,0,,HONEY,TOTAL,18000.00
SURVEY,1999,OHIO,39,0,,HONEY,TOTAL,20000.00
SURVEY,1998,OHIO,39,0,,HONEY,TOTAL,18000.00
SURVEY,1997,OHIO,39,0,,HONEY,TOTAL,22000.00
SURVEY,1996,OHIO,39,0,,HONEY,TOTAL,24000.00
SURVEY,1995,OHIO,39,0,,HONEY,TOTAL,25000.00
SURVEY,1994,OHIO,39,0,,HONEY,TOTAL,27000.00
SURVEY,1993,OHIO,39,0,,HONEY,TOTAL,30000.00
SURVEY,1992,OHIO,39,0,,HONEY,TOTAL,38000.00
SURVEY,1991,OHIO,39,0,,HONEY,TOTAL,48000.00
SURVEY,1990,OHIO,39,0,,HONEY,TOTAL,42000.00
SURVEY,1989,OHIO,39,0,,HONEY,TOTAL,53000.00
SURVEY,1988,OHIO,39,0,,HONEY,TOTAL,50000.00
SURVEY,1987,OHIO,39,0,,HONEY,TOTAL,55000.00
