Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,OREGON,41,0,,HONEY,TOTAL,84000
SURVEY,2023,OREGON,41,0,,HONEY,TOTAL,90000
SURVEY,2022,OREGON,41,0,,HONEY,TOTAL,92000
SURVEY,2021,OREGON,41,0,,HONEY,TOTAL,86000
SURVEY,2020,OREGON,41,0,,HONEY,TOTAL,95000
SURVEY,2019,OREGON,41,0,,HONEY,TOTAL,87000
SURVEY,2018,OREGON,41,0,,HONEY,TOTAL,93000
SURVEY,2017,OREGON,41,0,,HONEY,TOTAL,78000
SURVEY,2016,OREGON,41,0,,HONEY,TOTAL,74000
SURVEY,2015,OREGON,41,0,,HONEY,TOTAL,71000
SURVEY,2014,OREGON,41,0,,HONEY,TOTAL,71000
SURVEY,2013,OREGON,41,0,,HONEY,TOTAL,62000
SURVEY,2012,OREGON,41,0,,HONEY,TOTAL,60000
SURVEY,2011,OREGON,41,0,,HONEY,TOTAL,60000
SURVEY,2010,OREGON,41,0,,HONEY,TOTAL,59000
SURVEY,2009,OREGON,41,0,,HONEY,TOTAL,55000
SURVEY,2008,OREGON,41,0,,HONEY,TOTAL,50000
SURVEY,2007,OREGON,41,0,,HONEY,TOTAL,46000
SURVEY,2006,OREGON,41,0,,HONEY,TOTAL,46000
SURVEY,2005,OREGON,41,0,,HONEY,TOTAL,39000
SURVEY,2004,OREGON,41,0,,HONEY,TOTAL,42000
SURVEY,2003,OREGON,41,0,,HONEY,TOTAL,42000
SURVEY,2002,OREGON,41,0,,HONEY,TOTAL,43000
SURVEY,2001,OREGON,41,0,,HONEY,TOTAL,44000
SURVEY,2000,OREGON,41,0,,HONEY,TOTAL,48000
SURVEY,1999,OREGON,41,0,,HONEY,TOTAL,45000
SURVEY,1998,OREGON,41,0,,HONEY,TOTAL,50000
SURVEY,1997,OREGON,41,0,,HONEY,TOTAL,50000
SURVEY,1996,OREGON,41,0,,HONEY,TOTAL,55000
SURVEY,1995,OREGON,41,0,,HONEY,TOTAL,52000
SURVEY,1994,OREGON,41,0,,HONEY,TOTAL,50000
SURVEY,1993,OREGON,41,0,,HONEY,TOTAL,53000
SURVEY,1992,OREGON,41,0,,HONEY,TOTAL,52000
SURVEY,1991,OREGON,41,0,,HONEY,TOTAL,56000
SURVEY,1990,OREGON,41,0,,HONEY,TOTAL,61000
SURVEY,1989,OREGON,41,0,,HONEY,TOTAL,63000
SURVEY,1988,OREGON,41,0,,HONEY,TOTAL,60000
SURVEY,1987,OREGON,41,0,,HONEY,TOTAL,55000
