Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,PENNSYLVANIA,42,0,,HONEY,TOTAL,23000.00
SURVEY,2023,PENNSYLVANIA,42,0,,HONEY,TOTAL,20000.00
SURVEY,2022,PENNSYLVANIA,42,0,,HONEY,TOTAL,23000.00
SURVEY,2021,PENNSYLVANIA,42,0,,HONEY,TOTAL,20000.00
SURVEY,2020,PENNSYLVANIA,42,0,,HONEY,TOTAL,19000.00
SURVEY,2019,PENNSYLVANIA,42,0,,HONEY,TOTAL,19000.00
SURVEY,2018,PENNSYLVANIA,42,0,,HONEY,TOTAL,19000.00
SURVEY,2017,PENNSYLVANIA,42,0,,HONEY,TOTAL,16000.00
SURVEY,2016,PENNSYLVANIA,42,0,,HONEY,TOTAL,19000.00
SURVEY,2015,PENNSYLVANIA,42,0,,HONEY,TOTAL,17000.00
SURVEY,2014,PENNSYLVANIA,42,0,,HONEY,TOTAL,17000.00
SURVEY,2013,PENNSYLVANIA,42,0,,HONEY,TOTAL,13000.00
SURVEY,2012,PENNSYLVANIA,42,0,,HONEY,TOTAL,16000.00
SURVEY,2011,PENNSYLVANIA,42,0,,HONEY,TOTAL,24000.00
SURVEY,2010,PENNSYLVANIA,42,0,,HONEY,TOTAL,30000.00
SURVEY,2009,PENNSYLVANIA,42,0,,HONEY,TOTAL,21000.00
SURVEY,2008,PENNSYLVANIA,42,0,,HONEY,TOTAL,23000.00
SURVEY,2007,PENNSYLVANIA,42,0,,HONEY,TOTAL,25000.00
SURVEY,2006,PENNSYLVANIA,42,0,,HONEY,TOTAL,28000.00
SURVEY,2005,PENNSYLVANIA,42,0,,HONEY,TOTAL,28000.00
SURVEY,2004,PENNSYLVANIA,42,0,,HONEY,TOTAL,30000.00
SURVEY,2003,PENNSYLVANIA,42,0,,HONEY,TOTAL,27000.00
SURVEY,2002,PENNSYLVANIA,42,0,,HONEY,TOTAL,29000.00
SURVEY,2001,PENNSYLVANIA,42,0,,HONEY,TOTAL,26000.00
SURVEY,2000,PENNSYLVANIA,42,0,,HONEY,TOTAL,25000.00
SURVEY,1999,PENNSYLVANIA,42,0,,HONEY,TOTAL,28000.00
SURVEY,1998,PENNSYLVANIA,42,0,,HONEY,TOTAL,26000.00
SURVEY,1997,PENNSYLVANIA,42,0,,HONEY,TOTAL,22000.00
SURVEY,1996,PENNSYLVANIA,42,0,,HONEY,TOTAL,23000.00
SURVEY,1995,PENNSYLVANIA,42,0,,HONEY,TOTAL,25000.00
SURVEY,1994,PENNSYLVANIA,42,0,,HONEY,TOTAL,27000.00
SURVEY,1993,PENNSYLVANIA,42,0,,HONEY,TOTAL,28000.00
SURVEY,1992,PENNSYLVANIA,42,0,,HONEY,TOTAL,30000.00
SURVEY,1991,PENNSYLVANIA,42,0,,HONEY,TOTAL,40000.00
SURVEY,1990,PENNSYLVANIA,42,0,,HONEY,TOTAL,41000.00
SURVEY,1989,PENNSYLVANIA,42,0,,HONEY,TOTAL,41000.00
SURVEY,1988,PENNSYLVANIA,42,0,,HONEY,TOTAL,45000.00
SURVEY,1987,PENNSYLVANIA,42,0,,HONEY,TOTAL,48000.00
