Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,SOUTH DAKOTA,46,0,,HONEY,TOTAL,250000.00
SURVEY,2023,SOUTH DAKOTA,46,0,,HONEY,TOTAL,210000.00
SURVEY,2022,SOUTH DAKOTA,46,0,,HONEY,TOTAL,185000.00
SURVEY,2021,SOUTH DAKOTA,46,0,,HONEY,TOTAL,250000.00
SURVEY,2020,SOUTH DAKOTA,46,0,,HONEY,TOTAL,245000.00
SURVEY,2019,SOUTH DAKOTA,46,0,,HONEY,TOTAL,270000.00
SURVEY,2018,SOUTH DAKOTA,46,0,,HONEY,TOTAL,255000.00
SURVEY,2017,SOUTH DAKOTA,46,0,,HONEY,TOTAL,255000.00
SURVEY,2016,SOUTH DAKOTA,46,0,,HONEY,TOTAL,280000.00
SURVEY,2015,SOUTH DAKOTA,46,0,,HONEY,TOTAL,290000.00
SURVEY,2014,SOUTH DAKOTA,46,0,,HONEY,TOTAL,280000.00
SURVEY,2013,SOUTH DAKOTA,46,0,,HONEY,TOTAL,265000.00
SURVEY,2012,SOUTH DAKOTA,46,0,,HONEY,TOTAL,260000.00
SURVEY,2011,SOUTH DAKOTA,46,0,,HONEY,TOTAL,250000.00
SURVEY,2010,SOUTH DAKOTA,46,0,,HONEY,TOTAL,265000.00
SURVEY,2009,SOUTH DAKOTA,46,0,,HONEY,TOTAL,270000.00
SURVEY,2008,SOUTH DAKOTA,46,0,,HONEY,TOTAL,225000.00
SURVEY,2007,SOUTH DAKOTA,46,0,,HONEY,TOTAL,255000.00
SURVEY,2006,SOUTH DAKOTA,46,0,,HONEY,TOTAL,225000.00
SURVEY,2005,SOUTH DAKOTA,46,0,,HONEY,TOTAL,220000.00
SURVEY,2004,SOUTH DAKOTA,46,0,,HONEY,TOTAL,215000.00
SURVEY,2003,SOUTH DAKOTA,46,0,,HONEY,TOTAL,215000.00
SURVEY,2002,SOUTH DAKOTA,46,0,,HONEY,TOTAL,225000.00
SURVEY,2001,SOUTH DAKOTA,46,0,,HONEY,TOTAL,235000.00
SURVEY,2000,SOUTH DAKOTA,46,0,,HONEY,TOTAL,235000.00
SURVEY,1999,SOUTH DAKOTA,46,0,,HONEY,TOTAL,224000.00
SURVEY,1998,SOUTH DAKOTA,46,0,,HONEY,TOTAL,225000.00
SURVEY,1997,SOUTH DAKOTA,46,0,,HONEY,TOTAL,240000.00
SURVEY,1996,SOUTH DAKOTA,46,0,,HONEY,TOTAL,240000.00
SURVEY,1995,SOUTH DAKOTA,46,0,,HONEY,TOTAL,240000.00
SURVEY,1994,SOUTH DAKOTA,46,0,,HONEY,TOTAL,260000.00
SURVEY,1993,SOUTH DAKOTA,46,0,,HONEY,TOTAL,245000.00
SURVEY,1992,SOUTH DAKOTA,46,0,,HONEY,TOTAL,240000.00
SURVEY,1991,SOUTH DAKOTA,46,0,,HONEY,TOTAL,225000.00
SURVEY,1990,SOUTH DAKOTA,46,0,,HONEY,TOTAL,245000.00
SURVEY,1989,SOUTH DAKOTA,46,0,,HONEY,TOTAL,235000.00
SURVEY,1988,SOUTH DAKOTA,46,0,,HONEY,TOTAL,245000.00
SURVEY,1987,SOUTH DAKOTA,46,0,,HONEY,TOTAL,260000.00
