Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,TENNESSEE,47,0,,HONEY,TOTAL,12000.00
SURVEY,2022,TENNESSEE,47,0,,HONEY,TOTAL,9000.00
SURVEY,2021,TENNESSEE,47,0,,HONEY,TOTAL,8000.00
SURVEY,2020,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2019,TENNESSEE,47,0,,HONEY,TOTAL,8000.00
SURVEY,2018,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2017,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2016,TENNESSEE,47,0,,HONEY,TOTAL,6000.00
SURVEY,2015,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2014,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2013,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2012,TENNESSEE,47,0,,HONEY,TOTAL,6000.00
SURVEY,2011,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2010,TENNESSEE,47,0,,HONEY,TOTAL,8000.00
SURVEY,2009,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2008,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2007,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2006,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2005,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,2004,TENNESSEE,47,0,,HONEY,TOTAL,6000.00
SURVEY,2003,TENNESSEE,47,0,,HONEY,TOTAL,6000.00
SURVEY,2002,TENNESSEE,47,0,,HONEY,TOTAL,8000.00
SURVEY,2001,TENNESSEE,47,0,,HONEY,TOTAL,8000.00
SURVEY,2000,TENNESSEE,47,0,,HONEY,TOTAL,9000.00
SURVEY,1999,TENNESSEE,47,0,,HONEY,TOTAL,8000.00
SURVEY,1998,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,1997,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,1996,TENNESSEE,47,0,,HONEY,TOTAL,5000.00
SURVEY,1995,TENNESSEE,47,0,,HONEY,TOTAL,5000.00
SURVEY,1994,TENNESSEE,47,0,,HONEY,TOTAL,6000.00
SURVEY,1993,TENNESSEE,47,0,,HONEY,TOTAL,8000.00
SURVEY,1992,TENNESSEE,47,0,,HONEY,TOTAL,7000.00
SURVEY,1991,TENNESSEE,47,0,,HONEY,TOTAL,14000.00
SURVEY,1990,TENNESSEE,47,0,,HONEY,TOTAL,19000.00
SURVEY,1989,TENNESSEE,47,0,,HONEY,TOTAL,25000.00
SURVEY,1988,TENNESSEE,47,0,,HONEY,TOTAL,35000.00
SURVEY,1987,TENNESSEE,47,0,,HONEY,TOTAL,35000.00
