Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,TEXAS,48,0,,HONEY,TOTAL,89000.00
SURVEY,2023,TEXAS,48,0,,HONEY,TOTAL,111000.00
SURVEY,2022,TEXAS,48,0,,HONEY,TOTAL,157000.00
SURVEY,2021,TEXAS,48,0,,HONEY,TOTAL,137000.00
SURVEY,2020,TEXAS,48,0,,HONEY,TOTAL,157000.00
SURVEY,2019,TEXAS,48,0,,HONEY,TOTAL,126000.00
SURVEY,2018,TEXAS,48,0,,HONEY,TOTAL,132000.00
SURVEY,2017,TEXAS,48,0,,HONEY,TOTAL,120000.00
SURVEY,2016,TEXAS,48,0,,HONEY,TOTAL,133000.00
SURVEY,2015,TEXAS,48,0,,HONEY,TOTAL,126000.00
SURVEY,2014,TEXAS,48,0,,HONEY,TOTAL,116000.00
SURVEY,2013,TEXAS,48,0,,HONEY,TOTAL,106000.00
SURVEY,2012,TEXAS,48,0,,HONEY,TOTAL,92000.00
SURVEY,2011,TEXAS,48,0,,HONEY,TOTAL,78000.00
SURVEY,2010,TEXAS,48,0,,HONEY,TOTAL,100000.00
SURVEY,2009,TEXAS,48,0,,HONEY,TOTAL,89000.00
SURVEY,2008,TEXAS,48,0,,HONEY,TOTAL,77000.00
SURVEY,2007,TEXAS,48,0,,HONEY,TOTAL,105000.00
SURVEY,2006,TEXAS,48,0,,HONEY,TOTAL,82000.00
SURVEY,2005,TEXAS,48,0,,HONEY,TOTAL,84000.00
SURVEY,2004,TEXAS,48,0,,HONEY,TOTAL,116000.00
SURVEY,2003,TEXAS,48,0,,HONEY,TOTAL,140000.00
SURVEY,2002,TEXAS,48,0,,HONEY,TOTAL,114000.00
SURVEY,2001,TEXAS,48,0,,HONEY,TOTAL,97000.00
SURVEY,2000,TEXAS,48,0,,HONEY,TOTAL,105000.00
SURVEY,1999,TEXAS,48,0,,HONEY,TOTAL,108000.00
SURVEY,1998,TEXAS,48,0,,HONEY,TOTAL,91000.00
SURVEY,1997,TEXAS,48,0,,HONEY,TOTAL,94000.00
SURVEY,1996,TEXAS,48,0,,HONEY,TOTAL,82000.00
SURVEY,1995,TEXAS,48,0,,HONEY,TOTAL,84000.00
SURVEY,1994,TEXAS,48,0,,HONEY,TOTAL,103000.00
SURVEY,1993,TEXAS,48,0,,HONEY,TOTAL,105000.00
SURVEY,1992,TEXAS,48,0,,HONEY,TOTAL,125000.00
SURVEY,1991,TEXAS,48,0,,HONEY,TOTAL,140000.00
SURVEY,1990,TEXAS,48,0,,HONEY,TOTAL,140000.00
SURVEY,1989,TEXAS,48,0,,HONEY,TOTAL,140000.00
SURVEY,1988,TEXAS,48,0,,HONEY,TOTAL,124000.00
SURVEY,1987,TEXAS,48,0,,HONEY,TOTAL,120000.00
