Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,UTAH,49,0,,HONEY,TOTAL,24000.00
SURVEY,2022,UTAH,49,0,,HONEY,TOTAL,26000.00
SURVEY,2021,UTAH,49,0,,HONEY,TOTAL,31000.00
SURVEY,2020,UTAH,49,0,,HONEY,TOTAL,28000.00
SURVEY,2019,UTAH,49,0,,HONEY,TOTAL,22000.00
SURVEY,2018,UTAH,49,0,,HONEY,TOTAL,26000.00
SURVEY,2017,UTAH,49,0,,HONEY,TOTAL,27000.00
SURVEY,2016,UTAH,49,0,,HONEY,TOTAL,31000.00
SURVEY,2015,UTAH,49,0,,HONEY,TOTAL,27000.00
SURVEY,2014,UTAH,49,0,,HONEY,TOTAL,29000.00
SURVEY,2013,UTAH,49,0,,HONEY,TOTAL,30000.00
SURVEY,2012,UTAH,49,0,,HONEY,TOTAL,25000.00
SURVEY,2011,UTAH,49,0,,HONEY,TOTAL,23000.00
SURVEY,2010,UTAH,49,0,,HONEY,TOTAL,26000.00
SURVEY,2009,UTAH,49,0,,HONEY,TOTAL,26000.00
SURVEY,2008,UTAH,49,0,,HONEY,TOTAL,28000.00
SURVEY,2007,UTAH,49,0,,HONEY,TOTAL,28000.00
SURVEY,2006,UTAH,49,0,,HONEY,TOTAL,26000.00
SURVEY,2005,UTAH,49,0,,HONEY,TOTAL,24000.00
SURVEY,2004,UTAH,49,0,,HONEY,TOTAL,24000.00
SURVEY,2003,UTAH,49,0,,HONEY,TOTAL,25000.00
SURVEY,2002,UTAH,49,0,,HONEY,TOTAL,22000.00
SURVEY,2001,UTAH,49,0,,HONEY,TOTAL,23000.00
SURVEY,2000,UTAH,49,0,,HONEY,TOTAL,24000.00
SURVEY,1999,UTAH,49,0,,HONEY,TOTAL,26000.00
SURVEY,1998,UTAH,49,0,,HONEY,TOTAL,30000.00
SURVEY,1997,UTAH,49,0,,HONEY,TOTAL,32000.00
SURVEY,1996,UTAH,49,0,,HONEY,TOTAL,34000.00
SURVEY,1995,UTAH,49,0,,HONEY,TOTAL,32000.00
SURVEY,1994,UTAH,49,0,,HONEY,TOTAL,43000.00
SURVEY,1993,UTAH,49,0,,HONEY,TOTAL,42000.00
SURVEY,1992,UTAH,49,0,,HONEY,TOTAL,47000.00
SURVEY,1991,UTAH,49,0,,HONEY,TOTAL,45000.00
SURVEY,1990,UTAH,49,0,,HONEY,TOTAL,47000.00
SURVEY,1989,UTAH,49,0,,HONEY,TOTAL,47000.00
SURVEY,1988,UTAH,49,0,,HONEY,TOTAL,36000.00
SURVEY,1987,UTAH,49,0,,HONEY,TOTAL,35000.00
