Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2022,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2021,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2020,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2019,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2018,VERMONT,50,0,,HONEY,TOTAL,7000.00
SURVEY,2017,VERMONT,50,0,,HONEY,TOTAL,7000.00
SURVEY,2016,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2015,VERMONT,50,0,,HONEY,TOTAL,5000.00
SURVEY,2014,VERMONT,50,0,,HONEY,TOTAL,4000.00
SURVEY,2013,VERMONT,50,0,,HONEY,TOTAL,4000.00
SURVEY,2012,VERMONT,50,0,,HONEY,TOTAL,4000.00
SURVEY,2011,VERMONT,50,0,,HONEY,TOTAL,4000.00
SURVEY,2010,VERMONT,50,0,,HONEY,TOTAL,4000.00
SURVEY,2009,VERMONT,50,0,,HONEY,TOTAL,5000.00
SURVEY,2008,VERMONT,50,0,,HONEY,TOTAL,5000.00
SURVEY,2007,VERMONT,50,0,,HONEY,TOTAL,5000.00
SURVEY,2006,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2005,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2004,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,2003,VERMONT,50,0,,HONEY,TOTAL,7000.00
SURVEY,2002,VERMONT,50,0,,HONEY,TOTAL,7000.00
SURVEY,2001,VERMONT,50,0,,HONEY,TOTAL,7000.00
SURVEY,2000,VERMONT,50,0,,HONEY,TOTAL,7000.00
SURVEY,1999,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,1998,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,1997,VERMONT,50,0,,HONEY,TOTAL,5000.00
SURVEY,1996,VERMONT,50,0,,HONEY,TOTAL,4000.00
SURVEY,1995,VERMONT,50,0,,HONEY,TOTAL,5000.00
SURVEY,1994,VERMONT,50,0,,HONEY,TOTAL,5000.00
SURVEY,1993,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,1992,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,1991,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,1990,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,1989,VERMONT,50,0,,HONEY,TOTAL,6000.00
SURVEY,1988,VERMONT,50,0,,HONEY,TOTAL,7000.00
SURVEY,1987,VERMONT,50,0,,HONEY,TOTAL,7000.00
