Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,VIRGINIA,51,0,,HONEY,TOTAL,5000.00
SURVEY,2022,VIRGINIA,51,0,,HONEY,TOTAL,7000.00
SURVEY,2021,VIRGINIA,51,0,,HONEY,TOTAL,6000.00
SURVEY,2020,VIRGINIA,51,0,,HONEY,TOTAL,5000.00
SURVEY,2019,VIRGINIA,51,0,,HONEY,TOTAL,5000.00
SURVEY,2018,VIRGINIA,51,0,,HONEY,TOTAL,4000.00
SURVEY,2017,VIRGINIA,51,0,,HONEY,TOTAL,6000.00
SURVEY,2016,VIRGINIA,51,0,,HONEY,TOTAL,5000.00
SURVEY,2015,VIRGINIA,51,0,,HONEY,TOTAL,5000.00
SURVEY,2014,VIRGINIA,51,0,,HONEY,TOTAL,6000.00
SURVEY,2013,VIRGINIA,51,0,,HONEY,TOTAL,5000.00
SURVEY,2012,VIRGINIA,51,0,,HONEY,TOTAL,4000.00
SURVEY,2011,VIRGINIA,51,0,,HONEY,TOTAL,4000.00
SURVEY,2010,VIRGINIA,51,0,,HONEY,TOTAL,5000.00
SURVEY,2009,VIRGINIA,51,0,,HONEY,TOTAL,6000.00
SURVEY,2008,VIRGINIA,51,0,,HONEY,TOTAL,6000.00
SURVEY,2007,VIRGINIA,51,0,,HONEY,TOTAL,6000.00
SURVEY,2006,VIRGINIA,51,0,,HONEY,TOTAL,8000.00
SURVEY,2005,VIRGINIA,51,0,,HONEY,TOTAL,8000.00
SURVEY,2004,VIRGINIA,51,0,,HONEY,TOTAL,7000.00
SURVEY,2003,VIRGINIA,51,0,,HONEY,TOTAL,6000.00
SURVEY,2002,VIRGINIA,51,0,,HONEY,TOTAL,8000.00
SURVEY,2001,VIRGINIA,51,0,,HONEY,TOTAL,9000.00
SURVEY,2000,VIRGINIA,51,0,,HONEY,TOTAL,7000.00
SURVEY,1999,VIRGINIA,51,0,,HONEY,TOTAL,7000.00
SURVEY,1998,VIRGINIA,51,0,,HONEY,TOTAL,8000.00
SURVEY,1997,VIRGINIA,51,0,,HONEY,TOTAL,8000.00
SURVEY,1996,VIRGINIA,51,0,,HONEY,TOTAL,7000.00
SURVEY,1995,VIRGINIA,51,0,,HONEY,TOTAL,9000.00
SURVEY,1994,VIRGINIA,51,0,,HONEY,TOTAL,11000.00
SURVEY,1993,VIRGINIA,51,0,,HONEY,TOTAL,10000.00
SURVEY,1992,VIRGINIA,51,0,,HONEY,TOTAL,13000.00
SURVEY,1991,VIRGINIA,51,0,,HONEY,TOTAL,16000.00
SURVEY,1990,VIRGINIA,51,0,,HONEY,TOTAL,16000.00
SURVEY,1989,VIRGINIA,51,0,,HONEY,TOTAL,23000.00
SURVEY,1988,VIRGINIA,51,0,,HONEY,TOTAL,25000.00
SURVEY,1987,VIRGINIA,51,0,,HONEY,TOTAL,25000.00
