Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2025,WASHINGTON,53,0,,HONEY,TOTAL,66000
SURVEY,2024,WASHINGTON,53,0,,HONEY,TOTAL,72000
SURVEY,2023,WASHINGTON,53,0,,HONEY,TOTAL,83000
SURVEY,2022,WASHINGTON,53,0,,HONEY,TOTAL,86000
SURVEY,2021,WASHINGTON,53,0,,HONEY,TOTAL,96000
SURVEY,2020,WASHINGTON,53,0,,HONEY,TOTAL,98000
SURVEY,2019,WASHINGTON,53,0,,HONEY,TOTAL,81000
SURVEY,2018,WASHINGTON,53,0,,HONEY,TOTAL,77000
SURVEY,2017,WASHINGTON,53,0,,HONEY,TOTAL,77000
SURVEY,2016,WASHINGTON,53,0,,HONEY,TOTAL,84000
SURVEY,2015,WASHINGTON,53,0,,HONEY,TOTAL,73000
SURVEY,2014,WASHINGTON,53,0,,HONEY,TOTAL,68000
SURVEY,2013,WASHINGTON,53,0,,HONEY,TOTAL,69000
SURVEY,2012,WASHINGTON,53,0,,HONEY,TOTAL,62000
SURVEY,2011,WASHINGTON,53,0,,HONEY,TOTAL,71000
SURVEY,2010,WASHINGTON,53,0,,HONEY,TOTAL,71000
SURVEY,2009,WASHINGTON,53,0,,HONEY,TOTAL,62000
SURVEY,2008,WASHINGTON,53,0,,HONEY,TOTAL,49000
SURVEY,2007,WASHINGTON,53,0,,HONEY,TOTAL,46000
SURVEY,2006,WASHINGTON,53,0,,HONEY,TOTAL,49000
SURVEY,2005,WASHINGTON,53,0,,HONEY,TOTAL,51000
SURVEY,2004,WASHINGTON,53,0,,HONEY,TOTAL,56000
SURVEY,2003,WASHINGTON,53,0,,HONEY,TOTAL,58000
SURVEY,2002,WASHINGTON,53,0,,HONEY,TOTAL,50000
SURVEY,2001,WASHINGTON,53,0,,HONEY,TOTAL,48000
SURVEY,2000,WASHINGTON,53,0,,HONEY,TOTAL,52000
SURVEY,1999,WASHINGTON,53,0,,HONEY,TOTAL,52000
SURVEY,1998,WASHINGTON,53,0,,HONEY,TOTAL,58000
SURVEY,1997,WASHINGTON,53,0,,HONEY,TOTAL,60000
SURVEY,1996,WASHINGTON,53,0,,HONEY,TOTAL,60000
SURVEY,1995,WASHINGTON,53,0,,HONEY,TOTAL,60000
SURVEY,1994,WASHINGTON,53,0,,HONEY,TOTAL,60000
SURVEY,1993,WASHINGTON,53,0,,HONEY,TOTAL,60000
SURVEY,1992,WASHINGTON,53,0,,HONEY,TOTAL,80000
SURVEY,1991,WASHINGTON,53,0,,HONEY,TOTAL,85000
SURVEY,1990,WASHINGTON,53,0,,HONEY,TOTAL,80000
SURVEY,1989,WASHINGTON,53,0,,HONEY,TOTAL,70000
SURVEY,1988,WASHINGTON,53,0,,HONEY,TOTAL,65000
SURVEY,1987,WASHINGTON,53,0,,HONEY,TOTAL,75000
