Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2022,WEST VIRGINIA,54,0,,HONEY,TOTAL,7000.00
SURVEY,2021,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2020,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2019,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2018,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2017,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2016,WEST VIRGINIA,54,0,,HONEY,TOTAL,5000.00
SURVEY,2015,WEST VIRGINIA,54,0,,HONEY,TOTAL,5000.00
SURVEY,2014,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2013,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2012,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2011,WEST VIRGINIA,54,0,,HONEY,TOTAL,4000.00
SURVEY,2010,WEST VIRGINIA,54,0,,HONEY,TOTAL,5000.00
SURVEY,2009,WEST VIRGINIA,54,0,,HONEY,TOTAL,5000.00
SURVEY,2008,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2007,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2006,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,2005,WEST VIRGINIA,54,0,,HONEY,TOTAL,8000.00
SURVEY,2004,WEST VIRGINIA,54,0,,HONEY,TOTAL,9000.00
SURVEY,2003,WEST VIRGINIA,54,0,,HONEY,TOTAL,8000.00
SURVEY,2002,WEST VIRGINIA,54,0,,HONEY,TOTAL,9000.00
SURVEY,2001,WEST VIRGINIA,54,0,,HONEY,TOTAL,7000.00
SURVEY,2000,WEST VIRGINIA,54,0,,HONEY,TOTAL,7000.00
SURVEY,1999,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,1998,WEST VIRGINIA,54,0,,HONEY,TOTAL,6000.00
SURVEY,1997,WEST VIRGINIA,54,0,,HONEY,TOTAL,8000.00
SURVEY,1996,WEST VIRGINIA,54,0,,HONEY,TOTAL,10000.00
SURVEY,1995,WEST VIRGINIA,54,0,,HONEY,TOTAL,13000.00
SURVEY,1994,WEST VIRGINIA,54,0,,HONEY,TOTAL,20000.00
SURVEY,1993,WEST VIRGINIA,54,0,,HONEY,TOTAL,20000.00
SURVEY,1992,WEST VIRGINIA,54,0,,HONEY,TOTAL,23000.00
SURVEY,1991,WEST VIRGINIA,54,0,,HONEY,TOTAL,26000.00
SURVEY,1990,WEST VIRGINIA,54,0,,HONEY,TOTAL,30000.00
SURVEY,1989,WEST VIRGINIA,54,0,,HONEY,TOTAL,32000.00
SURVEY,1988,WEST VIRGINIA,54,0,,HONEY,TOTAL,30000.00
SURVEY,1987,WEST VIRGINIA,54,0,,HONEY,TOTAL,21000.00
