Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2024,WISCONSIN,55,0,,HONEY,TOTAL,57000.00
SURVEY,2023,WISCONSIN,55,0,,HONEY,TOTAL,62000.00
SURVEY,2022,WISCONSIN,55,0,,HONEY,TOTAL,53000.00
SURVEY,2021,WISCONSIN,55,0,,HONEY,TOTAL,42000.00
SURVEY,2020,WISCONSIN,55,0,,HONEY,TOTAL,45000.00
SURVEY,2019,WISCONSIN,55,0,,HONEY,TOTAL,46000.00
SURVEY,2018,WISCONSIN,55,0,,HONEY,TOTAL,51000.00
SURVEY,2017,WISCONSIN,55,0,,HONEY,TOTAL,53000.00
SURVEY,2016,WISCONSIN,55,0,,HONEY,TOTAL,54000.00
SURVEY,2015,WISCONSIN,55,0,,HONEY,TOTAL,52000.00
SURVEY,2014,WISCONSIN,55,0,,HONEY,TOTAL,53000.00
SURVEY,2013,WISCONSIN,55,0,,HONEY,TOTAL,59000.00
SURVEY,2012,WISCONSIN,55,0,,HONEY,TOTAL,60000.00
SURVEY,2011,WISCONSIN,55,0,,HONEY,TOTAL,57000.00
SURVEY,2010,WISCONSIN,55,0,,HONEY,TOTAL,64000.00
SURVEY,2009,WISCONSIN,55,0,,HONEY,TOTAL,63000.00
SURVEY,2008,WISCONSIN,55,0,,HONEY,TOTAL,58000.00
SURVEY,2007,WISCONSIN,55,0,,HONEY,TOTAL,60000.00
SURVEY,2006,WISCONSIN,55,0,,HONEY,TOTAL,64000.00
SURVEY,2005,WISCONSIN,55,0,,HONEY,TOTAL,64000.00
SURVEY,2004,WISCONSIN,55,0,,HONEY,TOTAL,68000.00
SURVEY,2003,WISCONSIN,55,0,,HONEY,TOTAL,74000.00
SURVEY,2002,WISCONSIN,55,0,,HONEY,TOTAL,70000.00
SURVEY,2001,WISCONSIN,55,0,,HONEY,TOTAL,67000.00
SURVEY,2000,WISCONSIN,55,0,,HONEY,TOTAL,84000.00
SURVEY,1999,WISCONSIN,55,0,,HONEY,TOTAL,80000.00
SURVEY,1998,WISCONSIN,55,0,,HONEY,TOTAL,89000.00
SURVEY,1997,WISCONSIN,55,0,,HONEY,TOTAL,79000.00
SURVEY,1996,WISCONSIN,55,0,,HONEY,TOTAL,69000.00
SURVEY,1995,WISCONSIN,55,0,,HONEY,TOTAL,73000.00
SURVEY,1994,WISCONSIN,55,0,,HONEY,TOTAL,75000.00
SURVEY,1993,WISCONSIN,55,0,,HONEY,TOTAL,100000.00
SURVEY,1992,WISCONSIN,55,0,,HONEY,TOTAL,105000.00
SURVEY,1991,WISCONSIN,55,0,,HONEY,TOTAL,110000.00
SURVEY,1990,WISCONSIN,55,0,,HONEY,TOTAL,112000.00
SURVEY,1989,WISCONSIN,55,0,,HONEY,TOTAL,108000.00
SURVEY,1988,WISCONSIN,55,0,,HONEY,TOTAL,102000.00
SURVEY,1987,WISCONSIN,55,0,,HONEY,TOTAL,92000.00
