Program,Year,State,StateANSI,watershed_code,Watershed,Commodity,Domain,Value
SURVEY,2023,WYOMING,56,0,,HONEY,TOTAL,27000.00
SURVEY,2022,WYOMING,56,0,,HONEY,TOTAL,30000.00
SURVEY,2021,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,2020,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,2019,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,2018,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,2017,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,2016,WYOMING,56,0,,HONEY,TOTAL,40000.00
SURVEY,2015,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,2014,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,2013,WYOMING,56,0,,HONEY,TOTAL,47000.00
SURVEY,2012,WYOMING,56,0,,HONEY,TOTAL,50000.00
SURVEY,2011,WYOMING,56,0,,HONEY,TOTAL,35000.00
SURVEY,2010,WYOMING,56,0,,HONEY,TOTAL,34000.00
SURVEY,2009,WYOMING,56,0,,HONEY,TOTAL,37000.00
SURVEY,2008,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,2007,WYOMING,56,0,,HONEY,TOTAL,43000.00
SURVEY,2006,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,2005,WYOMING,56,0,,HONEY,TOTAL,40000.00
SURVEY,2004,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,2003,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,2002,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,2001,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,2000,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,1999,WYOMING,56,0,,HONEY,TOTAL,37000.00
SURVEY,1998,WYOMING,56,0,,HONEY,TOTAL,46000.00
SURVEY,1997,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,1996,WYOMING,56,0,,HONEY,TOTAL,40000.00
SURVEY,1995,WYOMING,56,0,,HONEY,TOTAL,38000.00
SURVEY,1994,WYOMING,56,0,,HONEY,TOTAL,46000.00
SURVEY,1993,WYOMING,56,0,,HONEY,TOTAL,34000.00
SURVEY,1992,WYOMING,56,0,,HONEY,TOTAL,41000.00
SURVEY,1991,WYOMING,56,0,,HONEY,TOTAL,41000.00
SURVEY,1990,WYOMING,56,0,,HONEY,TOTAL,40000.00
SURVEY,1989,WYOMING,56,0,,HONEY,TOTAL,41000.00
SURVEY,1988,WYOMING,56,0,,HONEY,TOTAL,39000.00
SURVEY,1987,WYOMING,56,0,,HONEY,TOTAL,39000.00
